,impedance_key,transferFunc,transferFunc_latex
0,Z1_Z2_Z3,(Z_1*Z_2*Z_3*g_m + Z_1*Z_3)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_3),\frac{Z_{1} Z_{2} Z_{3} g_{m} + Z_{1} Z_{3}}{Z_{1} Z_{2} g_{m} + Z_{1} + Z_{2} + Z_{3}}
1,Z1_Z2_Z4,(Z_1*Z_2*Z_4*g_m + Z_1*Z_4)/(2*Z_1*Z_2*g_m + 2*Z_1 + 2*Z_2 + Z_4),\frac{Z_{1} Z_{2} Z_{4} g_{m} + Z_{1} Z_{4}}{2 Z_{1} Z_{2} g_{m} + 2 Z_{1} + 2 Z_{2} + Z_{4}}
2,Z1_Z2_Z5,(Z_1*Z_2*Z_5*g_m - Z_1*Z_2 + Z_1*Z_5)/(2*Z_1*Z_2*g_m + 4*Z_1 + Z_2 + Z_5),\frac{Z_{1} Z_{2} Z_{5} g_{m} - Z_{1} Z_{2} + Z_{1} Z_{5}}{2 Z_{1} Z_{2} g_{m} + 4 Z_{1} + Z_{2} + Z_{5}}
3,Z1_Z2_ZL,(Z_1*Z_2*Z_L*g_m + Z_1*Z_L)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_L),\frac{Z_{1} Z_{2} Z_{L} g_{m} + Z_{1} Z_{L}}{Z_{1} Z_{2} g_{m} + Z_{1} + Z_{2} + Z_{L}}
4,Z1_Z3_Z4,Z_1*Z_3*Z_4*g_m/(2*Z_1*Z_3*g_m + Z_1*Z_4*g_m + 2*Z_3 + Z_4),\frac{Z_{1} Z_{3} Z_{4} g_{m}}{2 Z_{1} Z_{3} g_{m} + Z_{1} Z_{4} g_{m} + 2 Z_{3} + Z_{4}}
5,Z1_Z3_Z5,(Z_1*Z_3*Z_5*g_m - Z_1*Z_3)/(2*Z_1*Z_3*g_m + Z_1*Z_5*g_m + Z_1 + Z_3 + Z_5),\frac{Z_{1} Z_{3} Z_{5} g_{m} - Z_{1} Z_{3}}{2 Z_{1} Z_{3} g_{m} + Z_{1} Z_{5} g_{m} + Z_{1} + Z_{3} + Z_{5}}
6,Z1_Z3_ZL,Z_1*Z_3*Z_L*g_m/(Z_1*Z_3*g_m + Z_1*Z_L*g_m + Z_3 + Z_L),\frac{Z_{1} Z_{3} Z_{L} g_{m}}{Z_{1} Z_{3} g_{m} + Z_{1} Z_{L} g_{m} + Z_{3} + Z_{L}}
7,Z1_Z4_Z5,(Z_1*Z_4*Z_5*g_m - Z_1*Z_4)/(2*Z_1*Z_4*g_m + 2*Z_1*Z_5*g_m + 2*Z_1 + Z_4 + 2*Z_5),\frac{Z_{1} Z_{4} Z_{5} g_{m} - Z_{1} Z_{4}}{2 Z_{1} Z_{4} g_{m} + 2 Z_{1} Z_{5} g_{m} + 2 Z_{1} + Z_{4} + 2 Z_{5}}
8,Z1_Z4_ZL,Z_1*Z_4*Z_L*g_m/(Z_1*Z_4*g_m + 2*Z_1*Z_L*g_m + Z_4 + 2*Z_L),\frac{Z_{1} Z_{4} Z_{L} g_{m}}{Z_{1} Z_{4} g_{m} + 2 Z_{1} Z_{L} g_{m} + Z_{4} + 2 Z_{L}}
9,Z1_Z5_ZL,(Z_1*Z_5*Z_L*g_m - Z_1*Z_L)/(Z_1*Z_5*g_m + 2*Z_1*Z_L*g_m + Z_1 + Z_5 + Z_L),\frac{Z_{1} Z_{5} Z_{L} g_{m} - Z_{1} Z_{L}}{Z_{1} Z_{5} g_{m} + 2 Z_{1} Z_{L} g_{m} + Z_{1} + Z_{5} + Z_{L}}
