,x_R_5,x_C_L,x_L_1,x_g_m,Q,wo,bandwidth,K_BP
0,200.00000000000003,1e-13,1e-10,0.001,0.171,288675134594.813,1683333333333.333,-3.96
1,200.00000000000003,1e-13,1e-10,0.0016681005372000592,0.18,273831832381.167,1524693576079.322,-3.277
2,200.00000000000003,1e-13,1e-10,0.0027825594022071257,0.192,253468374710.158,1320678122585.972,-2.157
3,200.00000000000003,1e-13,1e-10,0.004641588833612777,0.21,227724993661.97,1085314782028.542,-0.343
4,200.00000000000003,1e-13,1e-10,0.007742636826811269,0.234,198086714768.948,845528584791.135,2.546
5,200.00000000000003,1e-13,1e-10,0.01291549665014884,0.265,167059268762.356,630267186308.847,7.01
6,200.00000000000003,1e-13,1e-10,0.021544346900318832,0.3,137245773752.141,457891645843.654,13.612
7,200.00000000000003,1e-13,1e-10,0.03593813663804626,0.333,110514933467.959,332057459869.121,22.759
8,200.00000000000003,1e-13,1e-10,0.05994842503189409,0.356,87740618219.849,246269905626.424,34.354
9,200.00000000000003,1e-13,1e-10,0.1,0.362,69006555934.235,190476190476.19,47.5
10,200.00000000000003,1e-13,1.2915496650148827e-10,0.001,0.194,254011758697.822,1307106137801.879,-5.1
11,200.00000000000003,1e-13,1.2915496650148827e-10,0.0016681005372000592,0.203,240950802459.026,1186161911687.743,-4.213
12,200.00000000000003,1e-13,1.2915496650148827e-10,0.0027825594022071257,0.216,223032536989.29,1030624034139.37,-2.765
13,200.00000000000003,1e-13,1.2915496650148827e-10,0.004641588833612777,0.235,200380355657.3,851187065928.573,-0.437
14,200.00000000000003,1e-13,1.2915496650148827e-10,0.007742636826811269,0.261,174300965906.741,668378187752.502,3.22
15,200.00000000000003,1e-13,1.2915496650148827e-10,0.01291549665014884,0.292,146999216696.167,504266594906.321,8.762
16,200.00000000000003,1e-13,1.2915496650148827e-10,0.021544346900318832,0.324,120765650334.094,372850443599.51,16.716
17,200.00000000000003,1e-13,1.2915496650148827e-10,0.03593813663804626,0.351,97244581359.497,276916621556.25,27.291
18,200.00000000000003,1e-13,1.2915496650148827e-10,0.05994842503189409,0.365,77204947958.335,211513663699.384,39.999
19,200.00000000000003,1e-13,1.2915496650148827e-10,0.1,0.359,60720424220.596,168977493588.679,53.543
20,200.00000000000003,1e-13,1.6681005372000558e-10,0.001,0.22,223510672809.85,1015807083864.904,-6.563
21,200.00000000000003,1e-13,1.6681005372000558e-10,0.0016681005372000592,0.229,212018042974.764,924049138511.746,-5.407
22,200.00000000000003,1e-13,1.6681005372000558e-10,0.0027825594022071257,0.243,196251357246.287,806045687441.986,-3.535
23,200.00000000000003,1e-13,1.6681005372000558e-10,0.004641588833612777,0.263,176319192231.253,669910478243.29,-0.555
24,200.00000000000003,1e-13,1.6681005372000558e-10,0.007742636826811269,0.289,153371349267.212,531217068952.946,4.052
25,200.00000000000003,1e-13,1.6681005372000558e-10,0.01291549665014884,0.318,129347924657.958,406708912987.002,10.863
26,200.00000000000003,1e-13,1.6681005372000558e-10,0.021544346900318832,0.346,106264418217.754,307006129170.329,20.302
27,200.00000000000003,1e-13,1.6681005372000558e-10,0.03593813663804626,0.365,85567699378.162,234223073018.002,32.265
28,200.00000000000003,1e-13,1.6681005372000558e-10,0.05994842503189409,0.368,67934374183.619,184603167828.798,45.83
29,200.00000000000003,1e-13,1.6681005372000558e-10,0.1,0.351,53429270126.782,152331833363.709,59.394
30,200.00000000000003,1e-13,2.1544346900318867e-10,0.001,0.249,196672079733.685,790264805602.129,-8.436
31,200.00000000000003,1e-13,2.1544346900318867e-10,0.0016681005372000592,0.259,186559455656.898,721104737474.734,-6.929
32,200.00000000000003,1e-13,2.1544346900318867e-10,0.0027825594022071257,0.273,172685993447.042,632162829677.628,-4.507
33,200.00000000000003,1e-13,2.1544346900318867e-10,0.004641588833612777,0.293,155147232108.175,529554599878.212,-0.702
34,200.00000000000003,1e-13,2.1544346900318867e-10,0.007742636826811269,0.318,134954907757.831,425018195990.536,5.064
35,200.00000000000003,1e-13,2.1544346900318867e-10,0.01291549665014884,0.344,113816154870.415,331173542910.314,13.341
36,200.00000000000003,1e-13,2.1544346900318867e-10,0.021544346900318832,0.365,93504457169.057,256025267796.776,24.344
37,200.00000000000003,1e-13,2.1544346900318867e-10,0.03593813663804626,0.374,75292947684.189,201167008900.052,37.567
38,200.00000000000003,1e-13,2.1544346900318867e-10,0.05994842503189409,0.365,59776987327.425,163767348193.262,51.661
39,200.00000000000003,1e-13,2.1544346900318867e-10,0.1,0.337,47013619270.999,139443703177.264,64.884
40,200.00000000000003,1e-13,2.782559402207126e-10,0.001,0.281,173056196648.291,615635610634.104,-10.829
41,200.00000000000003,1e-13,2.782559402207126e-10,0.0016681005372000592,0.291,164157870748.486,563972258148.303,-8.86
42,200.00000000000003,1e-13,2.782559402207126e-10,0.0027825594022071257,0.305,151950298592.679,497531647869.88,-5.727
43,200.00000000000003,1e-13,2.782559402207126e-10,0.004641588833612777,0.324,136517547104.332,420882140609.324,-0.883
44,200.00000000000003,1e-13,2.782559402207126e-10,0.007742636826811269,0.346,118749865701.404,342792265514.078,6.279
45,200.00000000000003,1e-13,2.782559402207126e-10,0.01291549665014884,0.367,100149400492.831,272689249102.057,16.202
46,200.00000000000003,1e-13,2.782559402207126e-10,0.021544346900318832,0.38,82276679787.245,216552638323.434,28.782
47,200.00000000000003,1e-13,2.782559402207126e-10,0.03593813663804626,0.377,66251962039.087,175572898961.145,43.044
48,200.00000000000003,1e-13,2.782559402207126e-10,0.05994842503189409,0.356,52599118736.046,147634929750.573,57.306
49,200.00000000000003,1e-13,2.782559402207126e-10,0.1,0.32,41368343451.327,129464892036.234,69.885
50,200.00000000000003,1e-13,3.593813663804626e-10,0.001,0.317,152276048735.16,480426567034.521,-13.877
51,200.00000000000003,1e-13,3.593813663804626e-10,0.0016681005372000592,0.327,144446211175.896,442310286036.205,-11.297
52,200.00000000000003,1e-13,3.593813663804626e-10,0.0027825594022071257,0.34,133704493233.756,393291613239.7,-7.245
53,200.00000000000003,1e-13,3.593813663804626e-10,0.004641588833612777,0.357,120124867289.859,336741002089.78,-1.104
54,200.00000000000003,1e-13,3.593813663804626e-10,0.007742636826811269,0.374,104490683876.47,279127713771.492,7.711
55,200.00000000000003,1e-13,3.593813663804626e-10,0.01291549665014884,0.388,88123715218.573,227406984399.071,19.429
56,200.00000000000003,1e-13,3.593813663804626e-10,0.021544346900318832,0.389,72397105354.814,185990414862.296,33.511
57,200.00000000000003,1e-13,3.593813663804626e-10,0.03593813663804626,0.374,58296594953.877,155756309144.901,48.52
58,200.00000000000003,1e-13,3.593813663804626e-10,0.05994842503189409,0.342,46283150347.715,135144184036.583,62.602
59,200.00000000000003,1e-13,3.593813663804626e-10,0.1,0.299,36400937992.932,121738660973.401,74.32
60,200.00000000000003,1e-13,4.6415888336127727e-10,0.001,0.357,133991128127.695,375739115005.314,-17.743
61,200.00000000000003,1e-13,4.6415888336127727e-10,0.0016681005372000592,0.365,127101477546.815,348111839466.443,-14.354
62,200.00000000000003,1e-13,4.6415888336127727e-10,0.0027825594022071257,0.376,117649597772.865,312582340144.129,-9.115
63,200.00000000000003,1e-13,4.6415888336127727e-10,0.004641588833612777,0.389,105700578771.594,271593574314.656,-1.369
64,200.00000000000003,1e-13,4.6415888336127727e-10,0.007742636826811269,0.4,91943708335.859,229834563483.035,9.365
65,200.00000000000003,1e-13,4.6415888336127727e-10,0.01291549665014884,0.403,77542043643.887,192346571369.996,22.97
66,200.00000000000003,1e-13,4.6415888336127727e-10,0.021544346900318832,0.392,63703845090.848,162327195174.352,38.396
67,200.00000000000003,1e-13,4.6415888336127727e-10,0.03593813663804626,0.365,51296488113.234,140413043335.595,53.822
68,200.00000000000003,1e-13,4.6415888336127727e-10,0.05994842503189409,0.325,40725587378.353,125473053260.636,67.427
69,200.00000000000003,1e-13,4.6415888336127727e-10,0.1,0.277,32030005947.042,115756520857.447,78.161
70,200.00000000000003,1e-13,5.994842503189421e-10,0.001,0.4,117901814277.815,294683422866.676,-22.623
71,200.00000000000003,1e-13,5.994842503189421e-10,0.0016681005372000592,0.406,111839455414.385,275177403322.497,-18.158
72,200.00000000000003,1e-13,5.994842503189421e-10,0.0027825594022071257,0.414,103522533322.182,250092081130.635,-11.393
73,200.00000000000003,1e-13,5.994842503189421e-10,0.004641588833612777,0.421,93008322129.428,221152286968.284,-1.681
74,200.00000000000003,1e-13,5.994842503189421e-10,0.007742636826811269,0.422,80903341704.065,191668667409.739,11.229
75,200.00000000000003,1e-13,5.994842503189421e-10,0.01291549665014884,0.413,68230992276.675,165200566861.782,26.745
76,200.00000000000003,1e-13,5.994842503189421e-10,0.021544346900318832,0.389,56054449407.472,144005623554.672,43.281
77,200.00000000000003,1e-13,5.994842503189421e-10,0.03593813663804626,0.351,45136936296.759,128533309845.726,58.796
78,200.00000000000003,1e-13,5.994842503189421e-10,0.05994842503189409,0.304,35835362434.306,117985047930.361,71.707
79,200.00000000000003,1e-13,5.994842503189421e-10,0.1,0.254,28183924303.455,111124767020.953,81.419
80,200.00000000000003,1e-13,7.742636826811277e-10,0.001,0.447,103744464310.748,231924944169.147,-28.745
81,200.00000000000003,1e-13,7.742636826811277e-10,0.0016681005372000592,0.45,98410058079.61,218706918199.415,-22.847
82,200.00000000000003,1e-13,7.742636826811277e-10,0.0027825594022071257,0.452,91091810837.572,201708143055.15,-14.126
83,200.00000000000003,1e-13,7.742636826811277e-10,0.004641588833612777,0.449,81840119381.221,182097430068.306,-2.041
84,200.00000000000003,1e-13,7.742636826811277e-10,0.007742636826811269,0.439,71188674215.481,162118200163.204,13.276
85,200.00000000000003,1e-13,7.742636826811277e-10,0.01291549665014884,0.416,60037988274.336,144182401441.174,30.643
86,200.00000000000003,1e-13,7.742636826811277e-10,0.021544346900318832,0.38,49323573700.988,129819896039.913,48.011
87,200.00000000000003,1e-13,7.742636826811277e-10,0.03593813663804626,0.333,39717007795.161,119335263644.59,63.328
88,200.00000000000003,1e-13,7.742636826811277e-10,0.05994842503189409,0.281,31532343262.916,112187357347.406,75.412
89,200.00000000000003,1e-13,7.742636826811277e-10,0.1,0.231,24799670360.855,107538568238.237,84.134
90,200.00000000000003,1e-13,1e-09,0.001,0.498,91287092917.528,183333333333.333,-36.364
91,200.00000000000003,1e-13,1e-09,0.0016681005372000592,0.495,86593228618.194,174983872425.228,-28.556
92,200.00000000000003,1e-13,1e-09,0.0027825594022071257,0.488,80153737890.512,164246216978.209,-17.347
93,200.00000000000003,1e-13,1e-09,0.004641588833612777,0.474,72012966011.923,151858672738.344,-2.448
94,200.00000000000003,1e-13,1e-09,0.007742636826811269,0.45,62640519288.999,139238346567.954,15.458
95,200.00000000000003,1e-13,1e-09,0.01291549665014884,0.413,52828779353.126,127908799279.413,34.542
96,200.00000000000003,1e-13,1e-09,0.021544346900318832,0.365,43400924428.892,118836402412.824,52.448
97,200.00000000000003,1e-13,1e-09,0.03593813663804626,0.311,34947890522.072,112213550519.427,67.347
98,200.00000000000003,1e-13,1e-09,0.05994842503189409,0.258,27746019688.599,107698416085.601,78.556
99,200.00000000000003,1e-13,1e-09,0.1,0.208,21821789023.599,104761904761.905,86.364
100,200.00000000000003,2.782559402207126e-13,1e-10,0.001,0.103,173056196648.291,1672656356106.341,-1.432
101,200.00000000000003,2.782559402207126e-13,1e-10,0.0016681005372000592,0.109,164157870748.486,1508667778613.919,-1.19
102,200.00000000000003,2.782559402207126e-13,1e-10,0.0027825594022071257,0.117,151950298592.679,1297773582959.823,-0.789
103,200.00000000000003,2.782559402207126e-13,1e-10,0.004641588833612777,0.129,136517547104.332,1054474550737.549,-0.127
104,200.00000000000003,2.782559402207126e-13,1e-10,0.007742636826811269,0.147,118749865701.404,806603537393.034,0.959
105,200.00000000000003,2.782559402207126e-13,1e-10,0.01291549665014884,0.171,100149400492.831,584084219807.233,2.719
106,200.00000000000003,2.782559402207126e-13,1e-10,0.021544346900318832,0.203,82276679787.245,405896732857.711,5.518
107,200.00000000000003,2.782559402207126e-13,1e-10,0.03593813663804626,0.24,66251962039.087,275819824552.566,9.847
108,200.00000000000003,2.782559402207126e-13,1e-10,0.05994842503189409,0.281,52599118736.046,187139791058.262,16.247
109,200.00000000000003,2.782559402207126e-13,1e-10,0.1,0.32,41368343451.327,129464892036.234,25.115
110,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.001,0.117,152276048735.16,1296429160574.887,-1.848
111,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.0016681005372000592,0.123,144446211175.896,1170136114222.34,-1.535
112,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.0027825594022071257,0.133,133704493233.756,1007719494513.221,-1.016
113,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.004641588833612777,0.146,120124867289.859,820346834637.581,-0.163
114,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.007742636826811269,0.166,104490683876.47,629453140354.401,1.229
