,x_R_1,x_C_L,x_L_L,x_g_m,x_r_o,x_C_3,Q,wo,bandwidth,K_BP
41,200.00000000000003,1e-13,2.782559402207126e-10,0.0016681005372000592,100000.0,1e-13,3580.764,134048753515.365,37435794.596,33562.011
42,200.00000000000003,1e-13,2.782559402207126e-10,0.0027825594022071257,100000.0,1e-13,4178.331,134048753515.365,32081885.693,55851.188
43,200.00000000000003,1e-13,2.782559402207126e-10,0.004641588833612777,100000.0,1e-13,5175.134,134048753515.365,25902471.014,93031.777
44,200.00000000000003,1e-13,2.782559402207126e-10,0.007742636826811269,100000.0,1e-13,6837.9,134048753515.365,19603788.879,155052.737
45,200.00000000000003,1e-13,2.782559402207126e-10,0.01291549665014884,100000.0,1e-13,9611.562,134048753515.365,13946614.974,258509.933
46,200.00000000000003,1e-13,2.782559402207126e-10,0.021544346900318832,100000.0,1e-13,14238.308,134048753515.365,9414654.442,431086.938
47,200.00000000000003,1e-13,2.782559402207126e-10,0.03593813663804626,100000.0,1e-13,21956.187,134048753515.365,6105283.916,718962.733
48,200.00000000000003,1e-13,2.782559402207126e-10,0.05994842503189409,100000.0,1e-13,34830.384,134048753515.365,3848615.478,1199168.501
49,200.00000000000003,1e-13,2.782559402207126e-10,0.1,100000.0,1e-13,56305.838,134048753515.365,2380725.645,2000200.0
50,200.00000000000003,1e-13,3.593813663804626e-10,0.001,100000.0,1e-13,2835.579,117952520155.508,41597337.77,20200.0
51,200.00000000000003,1e-13,3.593813663804626e-10,0.0016681005372000592,100000.0,1e-13,3150.795,117952520155.508,37435794.596,33562.011
52,200.00000000000003,1e-13,3.593813663804626e-10,0.0027825594022071257,100000.0,1e-13,3676.608,117952520155.508,32081885.693,55851.188
53,200.00000000000003,1e-13,3.593813663804626e-10,0.004641588833612777,100000.0,1e-13,4553.717,117952520155.508,25902471.014,93031.777
54,200.00000000000003,1e-13,3.593813663804626e-10,0.007742636826811269,100000.0,1e-13,6016.823,117952520155.508,19603788.879,155052.737
55,200.00000000000003,1e-13,3.593813663804626e-10,0.01291549665014884,100000.0,1e-13,8457.43,117952520155.508,13946614.974,258509.933
56,200.00000000000003,1e-13,3.593813663804626e-10,0.021544346900318832,100000.0,1e-13,12528.609,117952520155.508,9414654.442,431086.938
57,200.00000000000003,1e-13,3.593813663804626e-10,0.03593813663804626,100000.0,1e-13,19319.744,117952520155.508,6105283.916,718962.733
58,200.00000000000003,1e-13,3.593813663804626e-10,0.05994842503189409,100000.0,1e-13,30648.04,117952520155.508,3848615.478,1199168.501
59,200.00000000000003,1e-13,3.593813663804626e-10,0.1,100000.0,1e-13,49544.777,117952520155.508,2380725.645,2000200.0
60,200.00000000000003,1e-13,4.6415888336127727e-10,0.001,100000.0,1e-13,2495.09,103789081555.621,41597337.77,20200.0
61,200.00000000000003,1e-13,4.6415888336127727e-10,0.0016681005372000592,100000.0,1e-13,2772.456,103789081555.621,37435794.596,33562.011
62,200.00000000000003,1e-13,4.6415888336127727e-10,0.0027825594022071257,100000.0,1e-13,3235.13,103789081555.621,32081885.693,55851.188
63,200.00000000000003,1e-13,4.6415888336127727e-10,0.004641588833612777,100000.0,1e-13,4006.918,103789081555.621,25902471.014,93031.777
64,200.00000000000003,1e-13,4.6415888336127727e-10,0.007742636826811269,100000.0,1e-13,5294.338,103789081555.621,19603788.879,155052.737
65,200.00000000000003,1e-13,4.6415888336127727e-10,0.01291549665014884,100000.0,1e-13,7441.883,103789081555.621,13946614.974,258509.933
66,200.00000000000003,1e-13,4.6415888336127727e-10,0.021544346900318832,100000.0,1e-13,11024.205,103789081555.621,9414654.442,431086.938
67,200.00000000000003,1e-13,4.6415888336127727e-10,0.03593813663804626,100000.0,1e-13,16999.878,103789081555.621,6105283.916,718962.733
68,200.00000000000003,1e-13,4.6415888336127727e-10,0.05994842503189409,100000.0,1e-13,26967.901,103789081555.621,3848615.478,1199168.501
69,200.00000000000003,1e-13,4.6415888336127727e-10,0.1,100000.0,1e-13,43595.566,103789081555.621,2380725.645,2000200.0
70,200.00000000000003,1e-13,5.994842503189421e-10,0.001,100000.0,1e-13,2195.486,91326352637.124,41597337.77,20200.0
71,200.00000000000003,1e-13,5.994842503189421e-10,0.0016681005372000592,100000.0,1e-13,2439.546,91326352637.124,37435794.596,33562.011
72,200.00000000000003,1e-13,5.994842503189421e-10,0.0027825594022071257,100000.0,1e-13,2846.664,91326352637.124,32081885.693,55851.188
73,200.00000000000003,1e-13,5.994842503189421e-10,0.004641588833612777,100000.0,1e-13,3525.778,91326352637.124,25902471.014,93031.777
74,200.00000000000003,1e-13,5.994842503189421e-10,0.007742636826811269,100000.0,1e-13,4658.607,91326352637.124,19603788.879,155052.737
75,200.00000000000003,1e-13,5.994842503189421e-10,0.01291549665014884,100000.0,1e-13,6548.281,91326352637.124,13946614.974,258509.933
76,200.00000000000003,1e-13,5.994842503189421e-10,0.021544346900318832,100000.0,1e-13,9700.447,91326352637.124,9414654.442,431086.938
77,200.00000000000003,1e-13,5.994842503189421e-10,0.03593813663804626,100000.0,1e-13,14958.576,91326352637.124,6105283.916,718962.733
78,200.00000000000003,1e-13,5.994842503189421e-10,0.05994842503189409,100000.0,1e-13,23729.664,91326352637.124,3848615.478,1199168.501
79,200.00000000000003,1e-13,5.994842503189421e-10,0.1,100000.0,1e-13,38360.721,91326352637.124,2380725.645,2000200.0
80,200.00000000000003,1e-13,7.742636826811277e-10,0.001,100000.0,1e-13,1931.857,80360116507.347,41597337.77,20200.0
81,200.00000000000003,1e-13,7.742636826811277e-10,0.0016681005372000592,100000.0,1e-13,2146.612,80360116507.347,37435794.596,33562.011
82,200.00000000000003,1e-13,7.742636826811277e-10,0.0027825594022071257,100000.0,1e-13,2504.844,80360116507.347,32081885.693,55851.188
83,200.00000000000003,1e-13,7.742636826811277e-10,0.004641588833612777,100000.0,1e-13,3102.411,80360116507.347,25902471.014,93031.777
84,200.00000000000003,1e-13,7.742636826811277e-10,0.007742636826811269,100000.0,1e-13,4099.214,80360116507.347,19603788.879,155052.737
85,200.00000000000003,1e-13,7.742636826811277e-10,0.01291549665014884,100000.0,1e-13,5761.98,80360116507.347,13946614.974,258509.933
86,200.00000000000003,1e-13,7.742636826811277e-10,0.021544346900318832,100000.0,1e-13,8535.642,80360116507.347,9414654.442,431086.938
87,200.00000000000003,1e-13,7.742636826811277e-10,0.03593813663804626,100000.0,1e-13,13162.388,80360116507.347,6105283.916,718962.733
88,200.00000000000003,1e-13,7.742636826811277e-10,0.05994842503189409,100000.0,1e-13,20880.266,80360116507.347,3848615.478,1199168.501
89,200.00000000000003,1e-13,7.742636826811277e-10,0.1,100000.0,1e-13,33754.463,80360116507.347,2380725.645,2000200.0
90,200.00000000000003,1e-13,1e-09,0.001,100000.0,1e-13,1699.885,70710678118.655,41597337.77,20200.0
91,200.00000000000003,1e-13,1e-09,0.0016681005372000592,100000.0,1e-13,1888.852,70710678118.655,37435794.596,33562.011
92,200.00000000000003,1e-13,1e-09,0.0027825594022071257,100000.0,1e-13,2204.069,70710678118.655,32081885.693,55851.188
