,impedance_key,zCombo,transferFunc,transferFunc_latex,valid,fType,parameters,filterOrder,denom_order,numer_order
10,Z1_ZL,"(L_1*s, oo, oo, oo, oo, R_L)",s*(L_1*R_L*g_m*r_o + L_1*R_L)/(R_L + r_o + s*(L_1*g_m*r_o + L_1)),\frac{s \left(L_{1} R_{L} g_{m} r_{o} + L_{1} R_{L}\right)}{R_{L} + r_{o} + s \left(L_{1} g_{m} r_{o} + L_{1}\right)},False,X-INVALID-ORDER,,BiQuad,1,1
11,Z1_ZL,"(L_1*s, oo, oo, oo, oo, 1/(C_L*s))",s*(L_1*g_m*r_o + L_1)/(C_L*r_o*s + s**2*(C_L*L_1*g_m*r_o + C_L*L_1) + 1),\frac{s \left(L_{1} g_{m} r_{o} + L_{1}\right)}{C_{L} r_{o} s + s^{2} \left(C_{L} L_{1} g_{m} r_{o} + C_{L} L_{1}\right) + 1},True,BP,"{'Q': (sqrt(L_1)*g_m*r_o*sqrt(1/(g_m*r_o + 1)) + sqrt(L_1)*sqrt(1/(g_m*r_o + 1)))/(sqrt(C_L)*r_o), 'wo': sqrt(1/(C_L*L_1*g_m*r_o + C_L*L_1)), 'bandwidth': sqrt(C_L)*r_o*sqrt(1/(C_L*L_1*g_m*r_o + C_L*L_1))/(sqrt(L_1)*g_m*r_o*sqrt(1/(g_m*r_o + 1)) + sqrt(L_1)*sqrt(1/(g_m*r_o + 1))), 'K_LP': 0, 'K_HP': 0, 'K_BP': (L_1*g_m*r_o + L_1)/(C_L*r_o), 'Qz': None, 'Wz': None}",BiQuad,2,1
12,Z1_ZL,"(L_1*s, oo, oo, oo, oo, R_L/(C_L*R_L*s + 1))",s*(L_1*R_L*g_m*r_o + L_1*R_L)/(R_L + r_o + s**2*(C_L*L_1*R_L*g_m*r_o + C_L*L_1*R_L) + s*(C_L*R_L*r_o + L_1*g_m*r_o + L_1)),\frac{s \left(L_{1} R_{L} g_{m} r_{o} + L_{1} R_{L}\right)}{R_{L} + r_{o} + s^{2} \left(C_{L} L_{1} R_{L} g_{m} r_{o} + C_{L} L_{1} R_{L}\right) + s \left(C_{L} R_{L} r_{o} + L_{1} g_{m} r_{o} + L_{1}\right)},True,BP,"{'Q': (sqrt(C_L)*sqrt(L_1)*sqrt(R_L)*g_m*r_o*sqrt(R_L/(g_m*r_o + 1) + r_o/(g_m*r_o + 1)) + sqrt(C_L)*sqrt(L_1)*sqrt(R_L)*sqrt(R_L/(g_m*r_o + 1) + r_o/(g_m*r_o + 1)))/(C_L*R_L*r_o + L_1*g_m*r_o + L_1), 'wo': sqrt((R_L + r_o)/(C_L*L_1*R_L*g_m*r_o + C_L*L_1*R_L)), 'bandwidth': sqrt((R_L + r_o)/(C_L*L_1*R_L*g_m*r_o + C_L*L_1*R_L))*(C_L*R_L*r_o + L_1*g_m*r_o + L_1)/(sqrt(C_L)*sqrt(L_1)*sqrt(R_L)*g_m*r_o*sqrt(R_L/(g_m*r_o + 1) + r_o/(g_m*r_o + 1)) + sqrt(C_L)*sqrt(L_1)*sqrt(R_L)*sqrt(R_L/(g_m*r_o + 1) + r_o/(g_m*r_o + 1))), 'K_LP': 0, 'K_HP': 0, 'K_BP': (L_1*R_L*g_m*r_o + L_1*R_L)/(C_L*R_L*r_o + L_1*g_m*r_o + L_1), 'Qz': None, 'Wz': None}",BiQuad,2,1
13,Z1_ZL,"(L_1*s, oo, oo, oo, oo, R_L + 1/(C_L*s))",(s**2*(C_L*L_1*R_L*g_m*r_o + C_L*L_1*R_L) + s*(L_1*g_m*r_o + L_1))/(s**2*(C_L*L_1*g_m*r_o + C_L*L_1) + s*(C_L*R_L + C_L*r_o) + 1),\frac{s^{2} \left(C_{L} L_{1} R_{L} g_{m} r_{o} + C_{L} L_{1} R_{L}\right) + s \left(L_{1} g_{m} r_{o} + L_{1}\right)}{s^{2} \left(C_{L} L_{1} g_{m} r_{o} + C_{L} L_{1}\right) + s \left(C_{L} R_{L} + C_{L} r_{o}\right) + 1},True,X-INVALID-NUMER,"{'Q': (sqrt(L_1)*g_m*r_o*sqrt(1/(g_m*r_o + 1)) + sqrt(L_1)*sqrt(1/(g_m*r_o + 1)))/(sqrt(C_L)*R_L + sqrt(C_L)*r_o), 'wo': sqrt(1/(C_L*L_1*g_m*r_o + C_L*L_1)), 'bandwidth': (sqrt(C_L)*R_L + sqrt(C_L)*r_o)*sqrt(1/(C_L*L_1*g_m*r_o + C_L*L_1))/(sqrt(L_1)*g_m*r_o*sqrt(1/(g_m*r_o + 1)) + sqrt(L_1)*sqrt(1/(g_m*r_o + 1))), 'K_LP': 0, 'K_HP': R_L, 'K_BP': (L_1*g_m*r_o + L_1)/(C_L*R_L + C_L*r_o), 'Qz': None, 'Wz': None}",BiQuad,2,2
14,Z1_ZL,"(L_1*s, oo, oo, oo, oo, L_L*s + 1/(C_L*s))",(s**3*(C_L*L_1*L_L*g_m*r_o + C_L*L_1*L_L) + s*(L_1*g_m*r_o + L_1))/(C_L*r_o*s + s**2*(C_L*L_1*g_m*r_o + C_L*L_1 + C_L*L_L) + 1),\frac{s^{3} \left(C_{L} L_{1} L_{L} g_{m} r_{o} + C_{L} L_{1} L_{L}\right) + s \left(L_{1} g_{m} r_{o} + L_{1}\right)}{C_{L} r_{o} s + s^{2} \left(C_{L} L_{1} g_{m} r_{o} + C_{L} L_{1} + C_{L} L_{L}\right) + 1},False,X-INVALID-ORDER,,BiQuad,2,3
15,Z1_ZL,"(L_1*s, oo, oo, oo, oo, L_L*s/(C_L*L_L*s**2 + 1))",s**2*(L_1*L_L*g_m*r_o + L_1*L_L)/(C_L*L_L*r_o*s**2 + r_o + s**3*(C_L*L_1*L_L*g_m*r_o + C_L*L_1*L_L) + s*(L_1*g_m*r_o + L_1 + L_L)),\frac{s^{2} \left(L_{1} L_{L} g_{m} r_{o} + L_{1} L_{L}\right)}{C_{L} L_{L} r_{o} s^{2} + r_{o} + s^{3} \left(C_{L} L_{1} L_{L} g_{m} r_{o} + C_{L} L_{1} L_{L}\right) + s \left(L_{1} g_{m} r_{o} + L_{1} + L_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,2
16,Z1_ZL,"(L_1*s, oo, oo, oo, oo, L_L*s + R_L + 1/(C_L*s))",(s**3*(C_L*L_1*L_L*g_m*r_o + C_L*L_1*L_L) + s**2*(C_L*L_1*R_L*g_m*r_o + C_L*L_1*R_L) + s*(L_1*g_m*r_o + L_1))/(s**2*(C_L*L_1*g_m*r_o + C_L*L_1 + C_L*L_L) + s*(C_L*R_L + C_L*r_o) + 1),\frac{s^{3} \left(C_{L} L_{1} L_{L} g_{m} r_{o} + C_{L} L_{1} L_{L}\right) + s^{2} \left(C_{L} L_{1} R_{L} g_{m} r_{o} + C_{L} L_{1} R_{L}\right) + s \left(L_{1} g_{m} r_{o} + L_{1}\right)}{s^{2} \left(C_{L} L_{1} g_{m} r_{o} + C_{L} L_{1} + C_{L} L_{L}\right) + s \left(C_{L} R_{L} + C_{L} r_{o}\right) + 1},False,X-INVALID-ORDER,,BiQuad,2,3
17,Z1_ZL,"(L_1*s, oo, oo, oo, oo, L_L*R_L*s/(C_L*L_L*R_L*s**2 + L_L*s + R_L))",s**2*(L_1*L_L*R_L*g_m*r_o + L_1*L_L*R_L)/(R_L*r_o + s**3*(C_L*L_1*L_L*R_L*g_m*r_o + C_L*L_1*L_L*R_L) + s**2*(C_L*L_L*R_L*r_o + L_1*L_L*g_m*r_o + L_1*L_L) + s*(L_1*R_L*g_m*r_o + L_1*R_L + L_L*R_L + L_L*r_o)),\frac{s^{2} \left(L_{1} L_{L} R_{L} g_{m} r_{o} + L_{1} L_{L} R_{L}\right)}{R_{L} r_{o} + s^{3} \left(C_{L} L_{1} L_{L} R_{L} g_{m} r_{o} + C_{L} L_{1} L_{L} R_{L}\right) + s^{2} \left(C_{L} L_{L} R_{L} r_{o} + L_{1} L_{L} g_{m} r_{o} + L_{1} L_{L}\right) + s \left(L_{1} R_{L} g_{m} r_{o} + L_{1} R_{L} + L_{L} R_{L} + L_{L} r_{o}\right)},False,X-INVALID-ORDER,,BiQuad,3,2
18,Z1_ZL,"(L_1*s, oo, oo, oo, oo, (C_L*L_L*R_L*s**2 + L_L*s + R_L)/(C_L*L_L*s**2 + 1))",(s**3*(C_L*L_1*L_L*R_L*g_m*r_o + C_L*L_1*L_L*R_L) + s**2*(L_1*L_L*g_m*r_o + L_1*L_L) + s*(L_1*R_L*g_m*r_o + L_1*R_L))/(R_L + r_o + s**3*(C_L*L_1*L_L*g_m*r_o + C_L*L_1*L_L) + s**2*(C_L*L_L*R_L + C_L*L_L*r_o) + s*(L_1*g_m*r_o + L_1 + L_L)),\frac{s^{3} \left(C_{L} L_{1} L_{L} R_{L} g_{m} r_{o} + C_{L} L_{1} L_{L} R_{L}\right) + s^{2} \left(L_{1} L_{L} g_{m} r_{o} + L_{1} L_{L}\right) + s \left(L_{1} R_{L} g_{m} r_{o} + L_{1} R_{L}\right)}{R_{L} + r_{o} + s^{3} \left(C_{L} L_{1} L_{L} g_{m} r_{o} + C_{L} L_{1} L_{L}\right) + s^{2} \left(C_{L} L_{L} R_{L} + C_{L} L_{L} r_{o}\right) + s \left(L_{1} g_{m} r_{o} + L_{1} + L_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,3
19,Z1_ZL,"(L_1*s, oo, oo, oo, oo, R_L*(C_L*L_L*s**2 + 1)/(C_L*L_L*s**2 + C_L*R_L*s + 1))",(s**3*(C_L*L_1*L_L*R_L*g_m*r_o + C_L*L_1*L_L*R_L) + s*(L_1*R_L*g_m*r_o + L_1*R_L))/(R_L + r_o + s**3*(C_L*L_1*L_L*g_m*r_o + C_L*L_1*L_L) + s**2*(C_L*L_1*R_L*g_m*r_o + C_L*L_1*R_L + C_L*L_L*R_L + C_L*L_L*r_o) + s*(C_L*R_L*r_o + L_1*g_m*r_o + L_1)),\frac{s^{3} \left(C_{L} L_{1} L_{L} R_{L} g_{m} r_{o} + C_{L} L_{1} L_{L} R_{L}\right) + s \left(L_{1} R_{L} g_{m} r_{o} + L_{1} R_{L}\right)}{R_{L} + r_{o} + s^{3} \left(C_{L} L_{1} L_{L} g_{m} r_{o} + C_{L} L_{1} L_{L}\right) + s^{2} \left(C_{L} L_{1} R_{L} g_{m} r_{o} + C_{L} L_{1} R_{L} + C_{L} L_{L} R_{L} + C_{L} L_{L} r_{o}\right) + s \left(C_{L} R_{L} r_{o} + L_{1} g_{m} r_{o} + L_{1}\right)},False,X-INVALID-ORDER,,BiQuad,3,3
