,impedance_key,transferFunc,transferFunc_latex
0,Z1_ZL,(Z_1*Z_L*g_m*r_o + Z_1*Z_L)/(Z_1*g_m*r_o + Z_1 + Z_L + r_o),\frac{Z_{1} Z_{L} g_{m} r_{o} + Z_{1} Z_{L}}{Z_{1} g_{m} r_{o} + Z_{1} + Z_{L} + r_{o}}
1,Z1_Z2_ZL,(Z_1*Z_2*Z_L*g_m*r_o + Z_1*Z_2*Z_L + Z_1*Z_L*r_o)/(Z_1*Z_2*g_m*r_o + Z_1*Z_2 + Z_1*r_o + Z_2*Z_L + Z_2*r_o + Z_L*r_o),\frac{Z_{1} Z_{2} Z_{L} g_{m} r_{o} + Z_{1} Z_{2} Z_{L} + Z_{1} Z_{L} r_{o}}{Z_{1} Z_{2} g_{m} r_{o} + Z_{1} Z_{2} + Z_{1} r_{o} + Z_{2} Z_{L} + Z_{2} r_{o} + Z_{L} r_{o}}
2,Z1_Z3_ZL,(Z_1*Z_3*Z_L*g_m*r_o + Z_1*Z_3*Z_L)/(Z_1*Z_3*g_m*r_o + Z_1*Z_3 + Z_1*Z_L*g_m*r_o + Z_1*Z_L + Z_3*Z_L + Z_3*r_o + Z_L*r_o),\frac{Z_{1} Z_{3} Z_{L} g_{m} r_{o} + Z_{1} Z_{3} Z_{L}}{Z_{1} Z_{3} g_{m} r_{o} + Z_{1} Z_{3} + Z_{1} Z_{L} g_{m} r_{o} + Z_{1} Z_{L} + Z_{3} Z_{L} + Z_{3} r_{o} + Z_{L} r_{o}}
3,Z1_Z5_ZL,(Z_1*Z_5*Z_L*g_m*r_o + Z_1*Z_5*Z_L - Z_1*Z_L*r_o)/(Z_1*Z_5*g_m*r_o + Z_1*Z_5 + 2*Z_1*Z_L*g_m*r_o + 4*Z_1*Z_L + Z_1*r_o + Z_5*Z_L + Z_5*r_o + Z_L*r_o),\frac{Z_{1} Z_{5} Z_{L} g_{m} r_{o} + Z_{1} Z_{5} Z_{L} - Z_{1} Z_{L} r_{o}}{Z_{1} Z_{5} g_{m} r_{o} + Z_{1} Z_{5} + 2 Z_{1} Z_{L} g_{m} r_{o} + 4 Z_{1} Z_{L} + Z_{1} r_{o} + Z_{5} Z_{L} + Z_{5} r_{o} + Z_{L} r_{o}}
