time	V(ideal_out)	V(lpf_3rd_lt1818)	I(Iin2)
5.768999879535520e-08	1.077260e+00	1.112140e+00	1.000000e-03
5.866656129535519e-08	1.079010e+00	1.114480e+00	1.000000e-03
5.964312379535520e-08	1.080600e+00	1.116619e+00	1.000000e-03
6.061968629535520e-08	1.082044e+00	1.118572e+00	1.000000e-03
6.159624879535519e-08	1.083355e+00	1.120356e+00	1.000000e-03
6.257281129535519e-08	1.084546e+00	1.121986e+00	1.000000e-03
6.354937379535519e-08	1.085626e+00	1.123474e+00	1.000000e-03
6.452593629535519e-08	1.086607e+00	1.124833e+00	1.000000e-03
6.550249879535518e-08	1.087497e+00	1.126073e+00	1.000000e-03
6.647906129535518e-08	1.088305e+00	1.127206e+00	1.000000e-03
6.745562379535518e-08	1.089037e+00	1.128240e+00	1.000000e-03
6.843218629535517e-08	1.089702e+00	1.129183e+00	1.000000e-03
6.940874879535517e-08	1.090304e+00	1.130045e+00	1.000000e-03
7.038531129535517e-08	1.090851e+00	1.130831e+00	1.000000e-03
7.136187379535517e-08	1.091347e+00	1.131548e+00	1.000000e-03
7.233843629535516e-08	1.091796e+00	1.132203e+00	1.000000e-03
7.331499879535516e-08	1.092203e+00	1.132800e+00	1.000000e-03
7.429156129535516e-08	1.092573e+00	1.133345e+00	1.000000e-03
7.526812379535516e-08	1.092907e+00	1.133842e+00	1.000000e-03
7.624468629535515e-08	1.093211e+00	1.134296e+00	1.000000e-03
7.722124879535515e-08	1.093486e+00	1.134710e+00	1.000000e-03
7.819781129535515e-08	1.093735e+00	1.135088e+00	1.000000e-03
7.917437379535514e-08	1.093961e+00	1.135432e+00	1.000000e-03
8.015093629535514e-08	1.094166e+00	1.135746e+00	1.000000e-03
8.112749879535514e-08	1.094351e+00	1.136033e+00	1.000000e-03
8.210406129535514e-08	1.094519e+00	1.136294e+00	1.000000e-03
8.308062379535513e-08	1.094671e+00	1.136533e+00	1.000000e-03
8.405718629535513e-08	1.094809e+00	1.136750e+00	1.000000e-03
8.503374879535513e-08	1.094934e+00	1.136949e+00	1.000000e-03
8.601031129535512e-08	1.095047e+00	1.137130e+00	1.000000e-03
8.698687379535512e-08	1.095150e+00	1.137295e+00	1.000000e-03
8.796343629535512e-08	1.095242e+00	1.137445e+00	1.000000e-03
8.893999879535512e-08	1.095326e+00	1.137583e+00	1.000000e-03
8.991656129535511e-08	1.095402e+00	1.137708e+00	1.000000e-03
9.186968629535511e-08	1.095534e+00	1.137926e+00	1.000000e-03
9.382281129535510e-08	1.095642e+00	1.138108e+00	1.000000e-03
9.577593629535510e-08	1.095730e+00	1.138259e+00	1.000000e-03
9.772906129535509e-08	1.095802e+00	1.138384e+00	1.000000e-03
9.968218629535509e-08	1.095862e+00	1.138489e+00	1.000000e-03
1.016353112953551e-07	1.095911e+00	1.138576e+00	1.000000e-03
1.035884362953551e-07	1.095950e+00	1.138648e+00	1.000000e-03
1.065181237953551e-07	1.095997e+00	1.138734e+00	1.000000e-03
1.094478112953551e-07	1.096032e+00	1.138799e+00	1.000000e-03
1.123774987953551e-07	1.096058e+00	1.138849e+00	1.000000e-03
1.147491505810693e-07	1.096072e+00	1.138878e+00	1.000000e-03
1.171208023667836e-07	1.096085e+00	1.138903e+00	1.000000e-03
1.194924541524979e-07	1.096096e+00	1.138924e+00	1.000000e-03
1.218641059382122e-07	1.096104e+00	1.138942e+00	1.000000e-03
1.242357577239264e-07	1.096111e+00	1.138956e+00	1.000000e-03
1.266074095096407e-07	1.096116e+00	1.138966e+00	1.000000e-03
1.289790612953550e-07	1.096118e+00	1.138972e+00	1.000000e-03
1.335828559382121e-07	1.096122e+00	1.138981e+00	1.000000e-03
1.381866505810693e-07	1.096126e+00	1.138989e+00	1.000000e-03
1.427904452239264e-07	1.096128e+00	1.138995e+00	1.000000e-03
1.473942398667835e-07	1.096130e+00	1.138999e+00	1.000000e-03
1.519980345096407e-07	1.096131e+00	1.139002e+00	1.000000e-03
1.566018291524978e-07	1.096132e+00	1.139003e+00	1.000000e-03
1.612056237953549e-07	1.096131e+00	1.139003e+00	1.000000e-03
5.060000000000000e-07	1.096132e+00	1.139004e+00	1.000000e-03
5.060217365080455e-07	1.096132e+00	1.139004e+00	9.782634e-04
5.060652095241364e-07	1.096132e+00	1.139004e+00	9.347905e-04
5.061521555563181e-07	1.096131e+00	1.139004e+00	8.478445e-04
5.063260476206816e-07	1.096116e+00	1.139001e+00	6.739524e-04
5.066738317494086e-07	1.096009e+00	1.138994e+00	3.261683e-04
5.070000000000000e-07	1.095811e+00	1.138986e+00	0.000000e+00
5.070326168250591e-07	1.095769e+00	1.138985e+00	0.000000e+00
5.070978504751775e-07	1.095675e+00	1.138985e+00	0.000000e+00
5.072283177754140e-07	1.095423e+00	1.138991e+00	0.000000e+00
5.074892523758871e-07	1.094597e+00	1.139036e+00	0.000000e+00
5.080111215768332e-07	1.091411e+00	1.139248e+00	0.000000e+00
5.089876840768332e-07	1.080729e+00	1.139544e+00	0.000000e+00
5.099642465768332e-07	1.063692e+00	1.138208e+00	0.000000e+00
5.109408090768333e-07	1.039565e+00	1.132258e+00	0.000000e+00
5.119173715768333e-07	1.009019e+00	1.118321e+00	0.000000e+00
5.128939340768333e-07	9.731053e-01	1.094298e+00	0.000000e+00
5.138704965768333e-07	9.329961e-01	1.060278e+00	0.000000e+00
5.148470590768334e-07	8.898425e-01	1.018257e+00	0.000000e+00
5.158236215768334e-07	8.446969e-01	9.710681e-01	0.000000e+00
5.168001840768334e-07	7.984790e-01	9.213237e-01	0.000000e+00
5.177767465768334e-07	7.519659e-01	8.708455e-01	0.000000e+00
5.187533090768335e-07	7.057965e-01	8.206477e-01	0.000000e+00
5.197298715768335e-07	6.604819e-01	7.712187e-01	0.000000e+00
5.207064340768335e-07	6.164204e-01	7.228318e-01	0.000000e+00
5.216829965768335e-07	5.739126e-01	6.757327e-01	0.000000e+00
5.226595590768335e-07	5.331759e-01	6.301887e-01	0.000000e+00
5.236361215768336e-07	4.943587e-01	5.864589e-01	0.000000e+00
5.246126840768336e-07	4.575525e-01	5.447487e-01	0.000000e+00
5.255892465768336e-07	4.228023e-01	5.051867e-01	0.000000e+00
5.265658090768336e-07	3.901163e-01	4.678274e-01	0.000000e+00
5.275423715768337e-07	3.594735e-01	4.326701e-01	0.000000e+00
5.285189340768337e-07	3.308303e-01	3.996786e-01	0.000000e+00
5.294954965768337e-07	3.041260e-01	3.687966e-01	0.000000e+00
5.304720590768337e-07	2.792874e-01	3.399553e-01	0.000000e+00
5.314486215768338e-07	2.562327e-01	3.130773e-01	0.000000e+00
5.324251840768338e-07	2.348743e-01	2.880779e-01	0.000000e+00
5.334017465768338e-07	2.151211e-01	2.648666e-01	0.000000e+00
5.343783090768338e-07	1.968810e-01	2.433490e-01	0.000000e+00
5.353548715768339e-07	1.800618e-01	2.234293e-01	0.000000e+00
5.363314340768339e-07	1.645730e-01	2.050114e-01	0.000000e+00
5.373079965768339e-07	1.503260e-01	1.880012e-01	0.000000e+00
5.382845590768339e-07	1.372357e-01	1.723070e-01	0.000000e+00
5.392611215768340e-07	1.252201e-01	1.578406e-01	0.000000e+00
5.402376840768340e-07	1.142011e-01	1.445172e-01	0.000000e+00
5.412142465768340e-07	1.041045e-01	1.322560e-01	0.000000e+00
5.421908090768340e-07	9.486052e-02	1.209805e-01	0.000000e+00
5.431673715768340e-07	8.640320e-02	1.106181e-01	0.000000e+00
5.441439340768341e-07	7.867081e-02	1.011005e-01	0.000000e+00
5.451204965768341e-07	7.160563e-02	9.236370e-02	0.000000e+00
5.460970590768341e-07	6.515384e-02	8.434759e-02	0.000000e+00
5.470736215768341e-07	5.926537e-02	7.699614e-02	0.000000e+00
5.480501840768342e-07	5.389373e-02	7.025711e-02	0.000000e+00
5.490267465768342e-07	4.899587e-02	6.408191e-02	0.000000e+00
5.500033090768342e-07	4.453195e-02	5.842540e-02	0.000000e+00
5.509798715768342e-07	4.046518e-02	5.324576e-02	0.000000e+00
5.519564340768343e-07	3.676166e-02	4.850423e-02	0.000000e+00
5.529329965768343e-07	3.339015e-02	4.416501e-02	0.000000e+00
5.539095590768343e-07	3.032191e-02	4.019500e-02	0.000000e+00
5.548861215768343e-07	2.753053e-02	3.656366e-02	0.000000e+00
5.558626840768344e-07	2.499178e-02	3.324287e-02	0.000000e+00
5.568392465768344e-07	2.268344e-02	3.020669e-02	0.000000e+00
5.578158090768344e-07	2.058514e-02	2.743127e-02	0.000000e+00
5.587923715768344e-07	1.867823e-02	2.489467e-02	0.000000e+00
5.597689340768345e-07	1.694565e-02	2.257672e-02	0.000000e+00
5.607454965768345e-07	1.537181e-02	2.045891e-02	0.000000e+00
5.617220590768345e-07	1.394244e-02	1.852422e-02	0.000000e+00
5.626986215768345e-07	1.264453e-02	1.675707e-02	0.000000e+00
5.636751840768345e-07	1.146621e-02	1.514313e-02	0.000000e+00
5.646517465768346e-07	1.039663e-02	1.366930e-02	0.000000e+00
5.656283090768346e-07	9.425912e-03	1.232355e-02	0.000000e+00
5.666048715768346e-07	8.545053e-03	1.109488e-02	0.000000e+00
5.675814340768346e-07	7.745847e-03	9.973198e-03	0.000000e+00
5.685579965768347e-07	7.020819e-03	8.949281e-03	0.000000e+00
5.695345590768347e-07	6.363169e-03	8.014679e-03	0.000000e+00
5.705111215768347e-07	5.766704e-03	7.161665e-03	0.000000e+00
5.714876840768347e-07	5.225793e-03	6.383169e-03	0.000000e+00
5.724642465768348e-07	4.735312e-03	5.672726e-03	0.000000e+00
5.734408090768348e-07	4.290606e-03	5.024427e-03	0.000000e+00
5.744173715768348e-07	3.887438e-03	4.432867e-03	0.000000e+00
5.753939340768348e-07	3.521963e-03	3.893108e-03	0.000000e+00
5.763704965768349e-07	3.190682e-03	3.400638e-03	0.000000e+00
5.773470590768349e-07	2.890422e-03	2.951334e-03	0.000000e+00
5.783236215768349e-07	2.618297e-03	2.541429e-03	0.000000e+00
5.793001840768349e-07	2.371688e-03	2.167482e-03	0.000000e+00
5.802767465768349e-07	2.148218e-03	1.826351e-03	0.000000e+00
5.812533090768350e-07	1.945728e-03	1.515166e-03	0.000000e+00
5.822298715768350e-07	1.762260e-03	1.231308e-03	0.000000e+00
5.832064340768350e-07	1.596036e-03	9.723846e-04	0.000000e+00
5.841829965768350e-07	1.445443e-03	7.362112e-04	0.000000e+00
5.851595590768351e-07	1.309018e-03	5.207944e-04	0.000000e+00
5.861361215768351e-07	1.185435e-03	3.243146e-04	0.000000e+00
5.871126840768351e-07	1.073489e-03	1.451109e-04	0.000000e+00
5.880892465768351e-07	9.720884e-04	-1.833250e-05	0.000000e+00
5.890658090768352e-07	8.802443e-04	-1.673988e-04	0.000000e+00
5.900423715768352e-07	7.970588e-04	-3.033504e-04	0.000000e+00
5.910189340768352e-07	7.217184e-04	-4.273390e-04	0.000000e+00
5.919954965768352e-07	6.534854e-04	-5.404157e-04	0.000000e+00
5.929720590768353e-07	5.916916e-04	-6.435393e-04	0.000000e+00
5.939486215768353e-07	5.357307e-04	-7.375847e-04	0.000000e+00
5.959017465768353e-07	4.391632e-04	-9.015633e-04	0.000000e+00
5.978548715768354e-07	3.599791e-04	-1.037933e-03	0.000000e+00
5.998079965768354e-07	2.950553e-04	-1.151337e-03	0.000000e+00
6.017611215768355e-07	2.418283e-04	-1.245641e-03	0.000000e+00
6.037142465768355e-07	1.981940e-04	-1.324059e-03	0.000000e+00
6.066439340768356e-07	1.470390e-04	-1.417625e-03	0.000000e+00
6.095736215768357e-07	1.090786e-04	-1.488568e-03	0.000000e+00
6.125033090768357e-07	8.091285e-05	-1.542356e-03	0.000000e+00
6.147354519339786e-07	6.568195e-05	-1.572271e-03	0.000000e+00
6.169675947911215e-07	5.245774e-05	-1.598409e-03	0.000000e+00
6.191997376482644e-07	4.124023e-05	-1.620771e-03	0.000000e+00
6.214318805054074e-07	3.202941e-05	-1.639357e-03	0.000000e+00
6.236640233625503e-07	2.482528e-05	-1.654167e-03	0.000000e+00
6.258961662196932e-07	1.962785e-05	-1.665201e-03	0.000000e+00
6.281283090768361e-07	1.643711e-05	-1.672459e-03	0.000000e+00
6.324530858625505e-07	1.164037e-05	-1.683225e-03	0.000000e+00
6.367778626482648e-07	7.695444e-06	-1.692131e-03	0.000000e+00
6.411026394339793e-07	4.602341e-06	-1.699176e-03	0.000000e+00
6.454274162196937e-07	2.361057e-06	-1.704361e-03	0.000000e+00
6.497521930054081e-07	9.715912e-07	-1.707685e-03	0.000000e+00
6.540769697911224e-07	4.339443e-07	-1.709149e-03	0.000000e+00
6.584017465768368e-07	7.481161e-07	-1.708752e-03	0.000000e+00
9.425814340768438e-07	1.883213e-19	-1.710952e-03	0.000000e+00
9.992220590768403e-07	5.801218e-22	-1.710952e-03	0.000000e+00
1.000000000000000e-06	5.347757e-22	-1.710952e-03	0.000000e+00
