Freq.	V(ideal_out)	V(lpf_3rd_lt1818)
1.71790838715759e+04	(6.07972489062829e+01dB,-1.13885381232920e-01°)	(6.11435373249191e+01dB,-1.26447330006264e-01°)
1.73780082874938e+04	(6.07972487393850e+01dB,-1.15204111110638e-01°)	(6.11435371509247e+01dB,-1.27911520286277e-01°)
1.75792361395870e+04	(6.07972485685995e+01dB,-1.16538111136579e-01°)	(6.11435369728776e+01dB,-1.29392665062764e-01°)
1.77827941003893e+04	(6.07972483938359e+01dB,-1.17887558129880e-01°)	(6.11435367906832e+01dB,-1.30890960658558e-01°)
1.79887091512879e+04	(6.07972482150016e+01dB,-1.19252630957117e-01°)	(6.11435366042449e+01dB,-1.32406605669766e-01°)
1.81970085860999e+04	(6.07972480320016e+01dB,-1.20633510556012e-01°)	(6.11435364134640e+01dB,-1.33939800992100e-01°)
1.84077200146896e+04	(6.07972478447391e+01dB,-1.22030379959416e-01°)	(6.11435362182392e+01dB,-1.35490749847507e-01°)
1.86208713666287e+04	(6.07972476531146e+01dB,-1.23443424319569e-01°)	(6.11435360184670e+01dB,-1.37059657811077e-01°)
1.88364908948981e+04	(6.07972474570267e+01dB,-1.24872830932636e-01°)	(6.11435358140415e+01dB,-1.38646732838316e-01°)
1.90546071796325e+04	(6.07972472563713e+01dB,-1.26318789263535e-01°)	(6.11435356048544e+01dB,-1.40252185292707e-01°)
1.92752491319094e+04	(6.07972470510420e+01dB,-1.27781490971048e-01°)	(6.11435353907947e+01dB,-1.41876227973563e-01°)
1.94984459975805e+04	(6.07972468409300e+01dB,-1.29261129933224e-01°)	(6.11435351717489e+01dB,-1.43519076144286e-01°)
1.97242273611486e+04	(6.07972466259238e+01dB,-1.30757902273074e-01°)	(6.11435349476008e+01dB,-1.45180947560842e-01°)
1.99526231496889e+04	(6.07972464059096e+01dB,-1.32272006384565e-01°)	(6.11435347182318e+01dB,-1.46862062500647e-01°)
2.01836636368157e+04	(6.07972461807705e+01dB,-1.33803642958917e-01°)	(6.11435344835200e+01dB,-1.48562643791766e-01°)
2.04173794466954e+04	(6.07972459503873e+01dB,-1.35353015011202e-01°)	(6.11435342433410e+01dB,-1.50282916842442e-01°)
2.06538015581054e+04	(6.07972457146378e+01dB,-1.36920327907250e-01°)	(6.11435339975677e+01dB,-1.52023109670955e-01°)
2.08929613085405e+04	(6.07972454733970e+01dB,-1.38505789390866e-01°)	(6.11435337460695e+01dB,-1.53783452935897e-01°)
2.11348903983666e+04	(6.07972452265369e+01dB,-1.40109609611372e-01°)	(6.11435334887131e+01dB,-1.55564179966653e-01°)
2.13796208950224e+04	(6.07972449739268e+01dB,-1.41732001151451e-01°)	(6.11435332253622e+01dB,-1.57365526794413e-01°)
2.16271852372703e+04	(6.07972447154326e+01dB,-1.43373179055326e-01°)	(6.11435329558771e+01dB,-1.59187732183408e-01°)
2.18776162394956e+04	(6.07972444509174e+01dB,-1.45033360857261e-01°)	(6.11435326801149e+01dB,-1.61031037662571e-01°)
2.21309470960565e+04	(6.07972441802407e+01dB,-1.46712766610394e-01°)	(6.11435323979293e+01dB,-1.62895687557539e-01°)
2.23872113856835e+04	(6.07972439032593e+01dB,-1.48411618915902e-01°)	(6.11435321091709e+01dB,-1.64781929023041e-01°)
2.26464430759307e+04	(6.07972436198261e+01dB,-1.50130142952498e-01°)	(6.11435318136863e+01dB,-1.66690012075655e-01°)
2.29086765276778e+04	(6.07972433297909e+01dB,-1.51868566506286e-01°)	(6.11435315113191e+01dB,-1.68620189626935e-01°)
2.31739464996849e+04	(6.07972430330000e+01dB,-1.53627120000942e-01°)	(6.11435312019089e+01dB,-1.70572717516968e-01°)
2.34422881531993e+04	(6.07972427292959e+01dB,-1.55406036528257e-01°)	(6.11435308852916e+01dB,-1.72547854548214e-01°)
2.37137370566167e+04	(6.07972424185176e+01dB,-1.57205551879029e-01°)	(6.11435305612993e+01dB,-1.74545862519865e-01°)
2.39883291901950e+04	(6.07972421005004e+01dB,-1.59025904574316e-01°)	(6.11435302297603e+01dB,-1.76567006262537e-01°)
2.42661009508243e+04	(6.07972417750756e+01dB,-1.60867335897045e-01°)	(6.11435298904988e+01dB,-1.78611553673329e-01°)
2.45470891568504e+04	(6.07972414420708e+01dB,-1.62730089923993e-01°)	(6.11435295433348e+01dB,-1.80679775751366e-01°)
2.48313310529558e+04	(6.07972411013092e+01dB,-1.64614413558135e-01°)	(6.11435291880844e+01dB,-1.82771946633710e-01°)
2.51188643150959e+04	(6.07972407526103e+01dB,-1.66520556561366e-01°)	(6.11435288245592e+01dB,-1.84888343631663e-01°)
2.54097270554932e+04	(6.07972403957893e+01dB,-1.68448771587604e-01°)	(6.11435284525664e+01dB,-1.87029247267597e-01°)
2.57039578276888e+04	(6.07972400306567e+01dB,-1.70399314216274e-01°)	(6.11435280719089e+01dB,-1.89194941312008e-01°)
2.60015956316529e+04	(6.07972396570192e+01dB,-1.72372442986182e-01°)	(6.11435276823846e+01dB,-1.91385712821253e-01°)
2.63026799189540e+04	(6.07972392746786e+01dB,-1.74368419429781e-01°)	(6.11435272837873e+01dB,-1.93601852175510e-01°)
2.66072505979883e+04	(6.07972388834321e+01dB,-1.76387508107826e-01°)	(6.11435268759054e+01dB,-1.95843653117295e-01°)
2.69153480392693e+04	(6.07972384830723e+01dB,-1.78429976644448e-01°)	(6.11435264585227e+01dB,-1.98111412790386e-01°)
2.72270130807793e+04	(6.07972380733870e+01dB,-1.80496095762612e-01°)	(6.11435260314180e+01dB,-2.00405431779198e-01°)
2.75422870333818e+04	(6.07972376541589e+01dB,-1.82586139320001e-01°)	(6.11435255943648e+01dB,-2.02726014148655e-01°)
2.78612116862979e+04	(6.07972372251658e+01dB,-1.84700384345311e-01°)	(6.11435251471313e+01dB,-2.05073467484407e-01°)
2.81838293126447e+04	(6.07972367861801e+01dB,-1.86839111074964e-01°)	(6.11435246894804e+01dB,-2.07448102933696e-01°)
2.85101826750393e+04	(6.07972363369692e+01dB,-1.89002602990249e-01°)	(6.11435242211695e+01dB,-2.09850235246519e-01°)
2.88403150312663e+04	(6.07972358772948e+01dB,-1.91191146854891e-01°)	(6.11435237419503e+01dB,-2.12280182817354e-01°)
2.91742701400119e+04	(6.07972354069133e+01dB,-1.93405032753056e-01°)	(6.11435232515687e+01dB,-2.14738267727398e-01°)
2.95120922666641e+04	(6.07972349255752e+01dB,-1.95644554127794e-01°)	(6.11435227497646e+01dB,-2.17224815787176e-01°)
2.98538261891798e+04	(6.07972344330254e+01dB,-1.97910007819929e-01°)	(6.11435222362721e+01dB,-2.19740156579807e-01°)
3.01995172040204e+04	(6.07972339290026e+01dB,-2.00201694107402e-01°)	(6.11435217108189e+01dB,-2.22284623504611e-01°)
3.05492111321553e+04	(6.07972334132396e+01dB,-2.02519916745059e-01°)	(6.11435211731263e+01dB,-2.24858553821345e-01°)
3.09029543251361e+04	(6.07972328854630e+01dB,-2.04864983004915e-01°)	(6.11435206229092e+01dB,-2.27462288694861e-01°)
3.12607936712398e+04	(6.07972323453930e+01dB,-2.07237203716866e-01°)	(6.11435200598760e+01dB,-2.30096173240315e-01°)
3.16227766016840e+04	(6.07972317927431e+01dB,-2.09636893309893e-01°)	(6.11435194837282e+01dB,-2.32760556568946e-01°)
3.19889510969142e+04	(6.07972312272204e+01dB,-2.12064369853720e-01°)	(6.11435188941602e+01dB,-2.35455791834325e-01°)
3.23593656929631e+04	(6.07972306485251e+01dB,-2.14519955100977e-01°)	(6.11435182908594e+01dB,-2.38182236279117e-01°)
3.27340694878841e+04	(6.07972300563502e+01dB,-2.17003974529830e-01°)	(6.11435176735060e+01dB,-2.40940251282481e-01°)
3.31131121482594e+04	(6.07972294503818e+01dB,-2.19516757387122e-01°)	(6.11435170417727e+01dB,-2.43730202407910e-01°)
3.34965439157830e+04	(6.07972288302987e+01dB,-2.22058636732002e-01°)	(6.11435163953244e+01dB,-2.46552459451735e-01°)
3.38844156139205e+04	(6.07972281957721e+01dB,-2.24629949480063e-01°)	(6.11435157338185e+01dB,-2.49407396492066e-01°)
3.42767786546453e+04	(6.07972275464655e+01dB,-2.27231036447992e-01°)	(6.11435150569042e+01dB,-2.52295391938412e-01°)
3.46736850452534e+04	(6.07972268820346e+01dB,-2.29862242398734e-01°)	(6.11435143642227e+01dB,-2.55216828581782e-01°)
3.50751873952571e+04	(6.07972262021272e+01dB,-2.32523916087179e-01°)	(6.11435136554066e+01dB,-2.58172093645484e-01°)
3.54813389233578e+04	(6.07972255063828e+01dB,-2.35216410306382e-01°)	(6.11435129300801e+01dB,-2.61161578836367e-01°)
3.58921934645008e+04	(6.07972247944325e+01dB,-2.37940081934312e-01°)	(6.11435121878586e+01dB,-2.64185680396760e-01°)
3.63078054770104e+04	(6.07972240658988e+01dB,-2.40695291981146e-01°)	(6.11435114283487e+01dB,-2.67244799156991e-01°)
3.67282300498088e+04	(6.07972233203954e+01dB,-2.43482405637107e-01°)	(6.11435106511476e+01dB,-2.70339340588484e-01°)
3.71535229097176e+04	(6.07972225575271e+01dB,-2.46301792320862e-01°)	(6.11435098558433e+01dB,-2.73469714857497e-01°)
3.75837404288447e+04	(6.07972217768894e+01dB,-2.49153825728473e-01°)	(6.11435090420140e+01dB,-2.76636336879462e-01°)
3.80189396320564e+04	(6.07972209780684e+01dB,-2.52038883882915e-01°)	(6.11435082092283e+01dB,-2.79839626374023e-01°)
3.84591782045357e+04	(6.07972201606405e+01dB,-2.54957349184176e-01°)	(6.11435073570447e+01dB,-2.83080007920539e-01°)
3.89045144994284e+04	(6.07972193241724e+01dB,-2.57909608459924e-01°)	(6.11435064850113e+01dB,-2.86357911014497e-01°)
3.93550075455781e+04	(6.07972184682205e+01dB,-2.60896053016770e-01°)	(6.11435055926657e+01dB,-2.89673770124302e-01°)
3.98107170553501e+04	(6.07972175923311e+01dB,-2.63917078692119e-01°)	(6.11435046795348e+01dB,-2.93028024748895e-01°)
4.02717034325463e+04	(6.07972166960396e+01dB,-2.66973085906624e-01°)	(6.11435037451345e+01dB,-2.96421119475977e-01°)
