time	V(lpf_3rd_10mhz)	V(lpf_3rd_50mhz)
3.008821485935319e-09	-1.792010e-03	-2.109882e-03
3.051678628792463e-09	-1.796270e-03	-2.130340e-03
3.094535771649607e-09	-1.800550e-03	-2.150832e-03
3.137392914506750e-09	-1.804853e-03	-2.171359e-03
3.180250057363894e-09	-1.809176e-03	-2.191919e-03
3.223107200221038e-09	-1.813521e-03	-2.212513e-03
3.285964343078181e-09	-1.819955e-03	-2.242878e-03
3.348821485935325e-09	-1.826062e-03	-2.271394e-03
3.411678628792470e-09	-1.831844e-03	-2.298062e-03
3.474535771649613e-09	-1.837299e-03	-2.322880e-03
3.537392914506757e-09	-1.842429e-03	-2.345851e-03
3.600250057363901e-09	-1.847233e-03	-2.366972e-03
3.663107200221045e-09	-1.851711e-03	-2.386245e-03
3.695964343078188e-09	-1.853740e-03	-2.394657e-03
3.728821485935330e-09	-1.855547e-03	-2.401886e-03
3.761678628792472e-09	-1.857132e-03	-2.407933e-03
3.794535771649615e-09	-1.858494e-03	-2.412797e-03
3.827392914506757e-09	-1.859634e-03	-2.416480e-03
3.860250057363900e-09	-1.860551e-03	-2.418980e-03
3.893107200221042e-09	-1.861246e-03	-2.420298e-03
3.958821485935327e-09	-1.862084e-03	-2.419942e-03
4.024535771649611e-09	-1.861305e-03	-2.411234e-03
4.090250057363895e-09	-1.858908e-03	-2.394176e-03
4.155964343078179e-09	-1.854894e-03	-2.368765e-03
4.221678628792463e-09	-1.849261e-03	-2.335003e-03
4.287392914506747e-09	-1.842012e-03	-2.292890e-03
4.353107200221031e-09	-1.833144e-03	-2.242426e-03
4.434535771649601e-09	-1.819524e-03	-2.166273e-03
4.515964343078171e-09	-1.801342e-03	-2.067238e-03
4.597392914506740e-09	-1.778599e-03	-1.945321e-03
4.678821485935309e-09	-1.751293e-03	-1.800521e-03
4.760250057363879e-09	-1.719426e-03	-1.632838e-03
4.841678628792448e-09	-1.682997e-03	-1.442273e-03
4.923107200221018e-09	-1.642007e-03	-1.228826e-03
4.998821485935302e-09	-1.598596e-03	-1.003973e-03
5.074535771649586e-09	-1.548997e-03	-7.489674e-04
5.150250057363870e-09	-1.493209e-03	-4.638093e-04
5.225964343078154e-09	-1.431233e-03	-1.484987e-04
5.301678628792437e-09	-1.363068e-03	1.969644e-04
5.377392914506721e-09	-1.288714e-03	5.725800e-04
5.453107200221005e-09	-1.208172e-03	9.783481e-04
5.557392914506716e-09	-1.086174e-03	1.591558e-03
5.661678628792428e-09	-9.472763e-04	2.283826e-03
5.765964343078141e-09	-7.914777e-04	3.055151e-03
5.870250057363852e-09	-6.187786e-04	3.905533e-03
5.974535771649564e-09	-4.291788e-04	4.834973e-03
6.078821485935276e-09	-2.226784e-04	5.843470e-03
6.183107200220987e-09	7.226123e-07	6.931025e-03
6.308821485935270e-09	2.957542e-04	8.362700e-03
6.434535771649553e-09	6.242611e-04	9.940125e-03
6.560250057363836e-09	9.862433e-04	1.166330e-02
6.685964343078118e-09	1.381701e-03	1.353223e-02
6.811678628792400e-09	1.810633e-03	1.554690e-02
6.937392914506684e-09	2.273041e-03	1.770733e-02
7.063107200220966e-09	2.768924e-03	2.001350e-02
7.198821485935249e-09	3.347112e-03	2.268673e-02
7.334535771649531e-09	3.973480e-03	2.554500e-02
7.470250057363813e-09	4.648029e-03	2.858833e-02
7.605964343078096e-09	5.370760e-03	3.181670e-02
7.741678628792378e-09	6.141672e-03	3.523013e-02
7.877392914506661e-09	6.960766e-03	3.882860e-02
8.013107200220943e-09	7.828040e-03	4.261213e-02
8.087392914506656e-09	8.325756e-03	4.476098e-02
8.161678628792368e-09	8.839380e-03	4.696225e-02
8.235964343078081e-09	9.368913e-03	4.921591e-02
8.310250057363793e-09	9.914356e-03	5.152199e-02
8.384535771649506e-09	1.047571e-02	5.388047e-02
8.458821485935217e-09	1.105297e-02	5.629135e-02
8.533107200220930e-09	1.164614e-02	5.875465e-02
8.615964343078072e-09	1.232701e-02	6.156268e-02
8.698821485935211e-09	1.302851e-02	6.442820e-02
8.781678628792353e-09	1.375065e-02	6.735118e-02
8.864535771649494e-09	1.449341e-02	7.033165e-02
8.947392914506635e-09	1.525680e-02	7.336958e-02
9.030250057363775e-09	1.604083e-02	7.646499e-02
9.113107200220916e-09	1.684548e-02	7.961787e-02
9.231678628792342e-09	1.803343e-02	8.422906e-02
9.350250057363767e-09	1.926474e-02	8.892756e-02
9.468821485935195e-09	2.053942e-02	9.371337e-02
9.587392914506620e-09	2.185746e-02	9.858649e-02
9.705964343078046e-09	2.321886e-02	1.035469e-01
9.824535771649471e-09	2.462363e-02	1.085946e-01
9.943107200220896e-09	2.607177e-02	1.137297e-01
