Freq.	V(n001)/I(Iin2)
4.26579518801596e+04	(-3.59978554806085e+00dB,1.49278839674132e+01°)
4.31519076827769e+04	(-3.59301092854917e+00dB,1.50927767259049e+01°)
4.36515832240170e+04	(-3.58608943129717e+00dB,1.52593146287067e+01°)
4.41570447353316e+04	(-3.57901811349776e+00dB,1.54275083108805e+01°)
4.46683592150967e+04	(-3.57179398390667e+00dB,1.55973682820097e+01°)
4.51855944374926e+04	(-3.56441400252700e+00dB,1.57689049185282e+01°)
4.57088189614879e+04	(-3.55687508030972e+00dB,1.59421284557948e+01°)
4.62381021399265e+04	(-3.54917407882559e+00dB,1.61170489798967e+01°)
4.67735141287203e+04	(-3.54130781003072e+00dB,1.62936764194665e+01°)
4.73151258961485e+04	(-3.53327303597969e+00dB,1.64720205370472e+01°)
4.78630092322643e+04	(-3.52506646863969e+00dB,1.66520909205000e+01°)
4.84172367584104e+04	(-3.51668476967507e+00dB,1.68338969740698e+01°)
4.89778819368451e+04	(-3.50812455028370e+00dB,1.70174479093297e+01°)
4.95450190804795e+04	(-3.49938237102690e+00dB,1.72027527358910e+01°)
5.01187233627277e+04	(-3.49045474177548e+00dB,1.73898202519969e+01°)
5.06990708274709e+04	(-3.48133812157914e+00dB,1.75786590348583e+01°)
5.12861383991370e+04	(-3.47202891864288e+00dB,1.77692774308069e+01°)
5.18800038928966e+04	(-3.46252349033250e+00dB,1.79616835453731e+01°)
5.24807460249778e+04	(-3.45281814317614e+00dB,1.81558852330471e+01°)
5.30884444230994e+04	(-3.44290913292981e+00dB,1.83518900869514e+01°)
5.37031796370258e+04	(-3.43279266468176e+00dB,1.85497054282800e+01°)
5.43250331492439e+04	(-3.42246489300824e+00dB,1.87493382956605e+01°)
5.49540873857630e+04	(-3.41192192215779e+00dB,1.89507954343093e+01°)
5.55904257270409e+04	(-3.40115980626301e+00dB,1.91540832849834e+01°)
5.62341325190355e+04	(-3.39017454963864e+00dB,1.93592079728237e+01°)
5.68852930843847e+04	(-3.37896210709044e+00dB,1.95661752960874e+01°)
5.75439937337163e+04	(-3.36751838430710e+00dB,1.97749907147288e+01°)
5.82103217770878e+04	(-3.35583923824124e+00dB,1.99856593387166e+01°)
5.88843655355595e+04	(-3.34392047763825e+00dB,2.01981859165058e+01°)
5.95662143529017e+04	(-3.33175786354284e+00dB,2.04125748231314e+01°)
6.02559586074364e+04	(-3.31934710985824e+00dB,2.06288300482934e+01°)
6.09536897240176e+04	(-3.30668388402303e+00dB,2.08469551843552e+01°)
6.16595001861489e+04	(-3.29376380769635e+00dB,2.10669534143628e+01°)
6.23734835482426e+04	(-3.28058245752475e+00dB,2.12888274997592e+01°)
6.30957344480200e+04	(-3.26713536595399e+00dB,2.15125797681579e+01°)
6.38263486190556e+04	(-3.25341802211309e+00dB,2.17382121011551e+01°)
6.45654229034663e+04	(-3.23942587278200e+00dB,2.19657259219246e+01°)
6.53130552647480e+04	(-3.22515432337154e+00dB,2.21951221829498e+01°)
6.60693448007603e+04	(-3.21059873906708e+00dB,2.24264013537172e+01°)
6.68343917568622e+04	(-3.19575444589986e+00dB,2.26595634081325e+01°)
6.76082975391989e+04	(-3.18061673202948e+00dB,2.28946078125540e+01°)
6.83911647281437e+04	(-3.16518084900443e+00dB,2.31315335132054e+01°)
6.91830970918945e+04	(-3.14944201315206e+00dB,2.33703389241411e+01°)
6.99841996002282e+04	(-3.13339540698987e+00dB,2.36110219149632e+01°)
7.07945784384146e+04	(-3.11703618074545e+00dB,2.38535797987946e+01°)
7.16143410212911e+04	(-3.10035945395462e+00dB,2.40980093203398e+01°)
7.24435960074999e+04	(-3.08336031709898e+00dB,2.43443066439510e+01°)
7.32824533138913e+04	(-3.06603383337170e+00dB,2.45924673420638e+01°)
7.41310241300927e+04	(-3.04837504045876e+00dB,2.48424863835924e+01°)
7.49894209332465e+04	(-3.03037895247662e+00dB,2.50943581225620e+01°)
7.58577575029193e+04	(-3.01204056189421e+00dB,2.53480762870728e+01°)
7.67361489361829e+04	(-2.99335484161607e+00dB,2.56036339683008e+01°)
7.76247116628701e+04	(-2.97431674708362e+00dB,2.58610236099256e+01°)
7.85235634610082e+04	(-2.95492121849665e+00dB,2.61202369977348e+01°)
7.94328234724292e+04	(-2.93516318307428e+00dB,2.63812652495686e+01°)
8.03526122185628e+04	(-2.91503755741223e+00dB,2.66440988055151e+01°)
8.12830516164110e+04	(-2.89453924996007e+00dB,2.69087274186765e+01°)
8.22242649947082e+04	(-2.87366316346457e+00dB,2.71751401458589e+01°)
8.31763771102682e+04	(-2.85240419758605e+00dB,2.74433253392932e+01°)
8.41395141645206e+04	(-2.83075725155166e+00dB,2.77132706381471e+01°)
8.51138038202388e+04	(-2.80871722689909e+00dB,2.79849629609101e+01°)
8.60993752184612e+04	(-2.78627903024285e+00dB,2.82583884980899e+01°)
8.70963589956092e+04	(-2.76343757615901e+00dB,2.85335327053109e+01°)
8.81048873008026e+04	(-2.74018779013906e+00dB,2.88103802972698e+01°)
8.91250938133757e+04	(-2.71652461154694e+00dB,2.90889152417238e+01°)
9.01571137605969e+04	(-2.69244299673355e+00dB,2.93691207545687e+01°)
9.12010839355922e+04	(-2.66793792210560e+00dB,2.96509792951608e+01°)
9.22571427154776e+04	(-2.64300438735684e+00dB,2.99344725623900e+01°)
9.33254300797004e+04	(-2.61763741866780e+00dB,3.02195814914002e+01°)
9.44060876285936e+04	(-2.59183207200309e+00dB,3.05062862509208e+01°)
9.54992586021449e+04	(-2.56558343645172e+00dB,3.07945662413213e+01°)
9.66050878989827e+04	(-2.53888663758816e+00dB,3.10844000933433e+01°)
9.77237220955824e+04	(-2.51173684092645e+00dB,3.13757656676440e+01°)
9.88553094656953e+04	(-2.48412925533008e+00dB,3.16686400549717e+01°)
1.00000000000001e+05	(-2.45605913654388e+00dB,3.19629995771274e+01°)
1.01157945425991e+05	(-2.42752179068306e+00dB,3.22588197888876e+01°)
1.02329299228077e+05	(-2.39851257778730e+00dB,3.25560754804322e+01°)
1.03514216667936e+05	(-2.36902691538620e+00dB,3.28547406807832e+01°)
1.04712854805091e+05	(-2.33906028205569e+00dB,3.31547886621008e+01°)
1.05925372517730e+05	(-2.30860822102286e+00dB,3.34561919447129e+01°)
1.07151930523762e+05	(-2.27766634374355e+00dB,3.37589223030174e+01°)
1.08392691402122e+05	(-2.24623033348753e+00dB,3.40629507723531e+01°)
1.09647819614320e+05	(-2.21429594893202e+00dB,3.43682476566017e+01°)
1.10917481526242e+05	(-2.18185902770335e+00dB,3.46747825367939e+01°)
1.12201845430198e+05	(-2.14891548996278e+00dB,3.49825242805113e+01°)
1.13501081567233e+05	(-2.11546134189480e+00dB,3.52914410522098e+01°)
1.14815362149690e+05	(-2.08149267924163e+00dB,3.56015003245358e+01°)
1.16144861384036e+05	(-2.04700569072888e+00dB,3.59126688902663e+01°)
1.17489755493955e+05	(-2.01199666150582e+00dB,3.62249128754240e+01°)
1.18850222743704e+05	(-1.97646197650681e+00dB,3.65381977531870e+01°)
1.20226443461743e+05	(-1.94039812377735e+00dB,3.68524883585423e+01°)
1.21618600064639e+05	(-1.90380169771437e+00dB,3.71677489039038e+01°)
1.23026877081240e+05	(-1.86666940228572e+00dB,3.74839429958118e+01°)
1.24451461177140e+05	(-1.82899805412628e+00dB,3.78010336519548e+01°)
1.25892541179419e+05	(-1.79078458556471e+00dB,3.81189833195123e+01°)
1.27350308101668e+05	(-1.75202604763034e+00dB,3.84377538941509e+01°)
1.28824955169315e+05	(-1.71271961287739e+00dB,3.87573067396095e+01°)
1.30316677845232e+05	(-1.67286257817109e+00dB,3.90776027084797e+01°)
1.31825673855643e+05	(-1.63245236734839e+00dB,3.93986021632431e+01°)
1.33352143216335e+05	(-1.59148653381421e+00dB,3.97202649985212e+01°)
1.34896288259168e+05	(-1.54996276295242e+00dB,4.00425506635872e+01°)
1.36458313658895e+05	(-1.50787887448324e+00dB,4.03654181858781e+01°)
1.38038426460291e+05	(-1.46523282467740e+00dB,4.06888261949872e+01°)
1.39636836105596e+05	(-1.42202270844603e+00dB,4.10127329472645e+01°)
1.41253754462278e+05	(-1.37824676126224e+00dB,4.13370963509170e+01°)
1.42889395851113e+05	(-1.33390336105838e+00dB,4.16618739920564e+01°)
1.44543977074595e+05	(-1.28899102981025e+00dB,4.19870231605012e+01°)
1.46217717445674e+05	(-1.24350843515008e+00dB,4.23125008768043e+01°)
1.47910838816823e+05	(-1.19745439173881e+00dB,4.26382639191738e+01°)
1.49623565609446e+05	(-1.15082786248795e+00dB,4.29642688510888e+01°)
1.51356124843623e+05	(-1.10362795968305e+00dB,4.32904720489634e+01°)
1.53108746168206e+05	(-1.05585394590152e+00dB,4.36168297304143e+01°)
1.54881661891251e+05	(-1.00750523479978e+00dB,4.39432979825339e+01°)
1.56675107010818e+05	(-9.58581391727271e-01dB,4.42698327904385e+01°)
1.58489319246114e+05	(-9.09082134203650e-01dB,4.45963900660568e+01°)
1.60324539069007e+05	(-8.59007332207694e-01dB,4.49229256768850e+01°)
1.62181009735896e+05	(-8.08357008330862e-01dB,4.52493954748895e+01°)
1.64058977319957e+05	(-7.57131337737654e-01dB,4.55757553254342e+01°)
1.65958690743759e+05	(-7.05330648002794e-01dB,4.59019611361909e+01°)
1.67880401812259e+05	(-6.52955418751304e-01dB,4.62279688857929e+01°)
1.69824365246177e+05	(-6.00006281174344e-01dB,4.65537346527080e+01°)
1.71790838715762e+05	(-5.46484017333594e-01dB,4.68792146436070e+01°)
1.73780082874941e+05	(-4.92389559379046e-01dB,4.72043652216752e+01°)
1.75792361395872e+05	(-4.37723988534694e-01dB,4.75291429346565e+01°)
1.77827941003895e+05	(-3.82488533993656e-01dB,4.78535045425827e+01°)
1.79887091512882e+05	(-3.26684571622965e-01dB,4.81774070451469e+01°)
1.81970085861002e+05	(-2.70313622541193e-01dB,4.85008077086507e+01°)
1.84077200146899e+05	(-2.13377351531692e-01dB,4.88236640926301e+01°)
1.86208713666290e+05	(-1.55877565327291e-01dB,4.91459340759083e+01°)
1.88364908948983e+05	(-9.78162107642561e-02dB,4.94675758821120e+01°)
1.90546071796328e+05	(-3.91953727825104e-02dB,4.97885481047837e+01°)
1.92752491319097e+05	(1.99827276967105e-02dB,5.01088097317748e+01°)
1.94984459975808e+05	(7.97157359992095e-02dB,5.04283201691321e+01°)
1.97242273611489e+05	(1.40001166096938e-01dB,5.07470392641481e+01°)
1.99526231496892e+05	(2.00836403042596e-01dB,5.10649273280421e+01°)
2.01836636368160e+05	(2.62218705603574e-01dB,5.13819451576220e+01°)
2.04173794466957e+05	(3.24145208935289e-01dB,5.16980540563802e+01°)
2.06538015581057e+05	(3.86612927387230e-01dB,5.20132158548304e+01°)
2.08929613085408e+05	(4.49618757383095e-01dB,5.23273929299961e+01°)
2.11348903983669e+05	(5.13159480409780e-01dB,5.26405482241140e+01°)
2.13796208950227e+05	(5.77231766073297e-01dB,5.29526452626117e+01°)
2.16271852372706e+05	(6.41832175244307e-01dB,5.32636481710844e+01°)
2.18776162394959e+05	(7.06957163240895e-01dB,5.35735216916087e+01°)
2.21309470960568e+05	(7.72603083126542e-01dB,5.38822311980181e+01°)
2.23872113856838e+05	(8.38766189033603e-01dB,5.41897427104006e+01°)
2.26464430759310e+05	(9.05442639536764e-01dB,5.44960229087307e+01°)
2.29086765276782e+05	(9.72628501092129e-01dB,5.48010391455849e+01°)
2.31739464996852e+05	(1.04031975149182e+00dB,5.51047594579477e+01°)
2.34422881531997e+05	(1.10851228338677e+00dB,5.54071525781641e+01°)
2.37137370566170e+05	(1.17720190779916e+00dB,5.57081879439552e+01°)
2.39883291901954e+05	(1.24638435768296e+00dB,5.60078357076124e+01°)
2.42661009508246e+05	(1.31605529149304e+00dB,5.63060667442296e+01°)
2.45470891568508e+05	(1.38621029676431e+00dB,5.66028526591502e+01°)
2.48313310529562e+05	(1.45684489369397e+00dB,5.68981657943309e+01°)
2.51188643150963e+05	(1.52795453873610e+00dB,5.71919792342682e+01°)
2.54097270554935e+05	(1.59953462817256e+00dB,5.74842668104094e+01°)
2.57039578276891e+05	(1.67158050167700e+00dB,5.77750031055213e+01°)
2.60015956316532e+05	(1.74408744588595e+00dB,5.80641634564398e+01°)
2.63026799189543e+05	(1.81705069791775e+00dB,5.83517239565893e+01°)
2.66072505979886e+05	(1.89046544887246e+00dB,5.86376614575390e+01°)
2.69153480392697e+05	(1.96432684733311e+00dB,5.89219535694881e+01°)
2.72270130807797e+05	(2.03863000279093e+00dB,5.92045786614547e+01°)
2.75422870333822e+05	(2.11336998905471e+00dB,5.94855158604389e+01°)
2.78612116862983e+05	(2.18854184762248e+00dB,5.97647450498345e+01°)
2.81838293126451e+05	(2.26414059098639e+00dB,6.00422468673425e+01°)
2.85101826750397e+05	(2.34016120591693e+00dB,6.03180027020004e+01°)
2.88403150312666e+05	(2.41659865667067e+00dB,6.05919946906260e+01°)
2.91742701400123e+05	(2.49344788815131e+00dB,6.08642057137192e+01°)
2.95120922666645e+05	(2.57070382901837e+00dB,6.11346193905741e+01°)
2.98538261891802e+05	(2.64836139472633e+00dB,6.14032200739455e+01°)
3.01995172040208e+05	(2.72641549050618e+00dB,6.16699928440948e+01°)
3.05492111321557e+05	(2.80486101427453e+00dB,6.19349235022307e+01°)
3.09029543251365e+05	(2.88369285948218e+00dB,6.21979985636437e+01°)
3.12607936712402e+05	(2.96290591789061e+00dB,6.24592052500786e+01°)
3.16227766016844e+05	(3.04249508228049e+00dB,6.27185314817518e+01°)
3.19889510969146e+05	(3.12245524907394e+00dB,6.29759658691429e+01°)
3.23593656929635e+05	(3.20278132090145e+00dB,6.32314977040003e+01°)
3.27340694878845e+05	(3.28346820908986e+00dB,6.34851169501148e+01°)
3.31131121482598e+05	(3.36451083606155e+00dB,6.37368142338454e+01°)
3.34965439157835e+05	(3.44590413766492e+00dB,6.39865808342023e+01°)
3.38844156139210e+05	(3.52764306544411e+00dB,6.42344086724397e+01°)
3.42767786546458e+05	(3.60972258879399e+00dB,6.44802903017297e+01°)
3.46736850452539e+05	(3.69213769707859e+00dB,6.47242188962307e+01°)
3.50751873952575e+05	(3.77488340164090e+00dB,6.49661882400473e+01°)
3.54813389233583e+05	(3.85795473775263e+00dB,6.52061927160070e+01°)
3.58921934645013e+05	(3.94134676647818e+00dB,6.54442272940221e+01°)
3.63078054770109e+05	(4.02505457646226e+00dB,6.56802875196473e+01°)
3.67282300498092e+05	(4.10907328564467e+00dB,6.59143695020223e+01°)
3.71535229097180e+05	(4.19339804289455e+00dB,6.61464699020218e+01°)
3.75837404288452e+05	(4.27802402957555e+00dB,6.63765859200857e+01°)
3.80189396320569e+05	(4.36294646101789e+00dB,6.66047152841133e+01°)
3.84591782045362e+05	(4.44816058794919e+00dB,6.68308562369915e+01°)
3.89045144994289e+05	(4.53366169781899e+00dB,6.70550075245005e+01°)
3.93550075455786e+05	(4.61944511606837e+00dB,6.72771683826137e+01°)
3.98107170553506e+05	(4.70550620732896e+00dB,6.74973385253016e+01°)
4.02717034325468e+05	(4.79184037654870e+00dB,6.77155181319036e+01°)
4.07380277804122e+05	(4.87844307004525e+00dB,6.79317078348165e+01°)
4.12097519097339e+05	(4.96530977650391e+00dB,6.81459087068556e+01°)
4.16869383470345e+05	(5.05243602789766e+00dB,6.83581222490006e+01°)
4.21696503428592e+05	(5.13981740034840e+00dB,6.85683503779689e+01°)
4.26579518801602e+05	(5.22744951492701e+00dB,6.87765954137915e+01°)
4.31519076827775e+05	(5.31532803839059e+00dB,6.89828600676805e+01°)
4.36515832240176e+05	(5.40344868385585e+00dB,6.91871474297449e+01°)
4.41570447353322e+05	(5.49180721142008e+00dB,6.93894609568879e+01°)
4.46683592150973e+05	(5.58039942872420e+00dB,6.95898044608617e+01°)
4.51855944374932e+05	(5.66922119145601e+00dB,6.97881820962783e+01°)
4.57088189614885e+05	(5.75826840380891e+00dB,6.99845983488360e+01°)
4.62381021399271e+05	(5.84753701887528e+00dB,7.01790580236981e+01°)
4.67735141287209e+05	(5.93702303900588e+00dB,7.03715662339527e+01°)
4.73151258961491e+05	(6.02672251610623e+00dB,7.05621283891238e+01°)
4.78630092322649e+05	(6.11663155189639e+00dB,7.07507501839736e+01°)
4.84172367584110e+05	(6.20674629811611e+00dB,7.09374375874361e+01°)
4.89778819368457e+05	(6.29706295669272e+00dB,7.11221968316025e+01°)
4.95450190804802e+05	(6.38757777986817e+00dB,7.13050344009153e+01°)
5.01187233627284e+05	(6.47828707027573e+00dB,7.14859570216248e+01°)
5.06990708274716e+05	(6.56918718099088e+00dB,7.16649716512560e+01°)
5.12861383991377e+05	(6.66027451553029e+00dB,7.18420854683647e+01°)
5.18800038928973e+05	(6.75154552782632e+00dB,7.20173058624223e+01°)
5.24807460249785e+05	(6.84299672216353e+00dB,7.21906404238840e+01°)
5.30884444231001e+05	(6.93462465307686e+00dB,7.23620969344535e+01°)
5.37031796370265e+05	(7.02642592522852e+00dB,7.25316833574980e+01°)
5.43250331492446e+05	(7.11839719324258e+00dB,7.26994078287418e+01°)
5.49540873857638e+05	(7.21053516152176e+00dB,7.28652786469710e+01°)
5.55904257270417e+05	(7.30283658402726e+00dB,7.30293042651231e+01°)
5.62341325190362e+05	(7.39529826404377e+00dB,7.31914932814340e+01°)
5.68852930843855e+05	(7.48791705390520e+00dB,7.33518544308516e+01°)
5.75439937337171e+05	(7.58068985471231e+00dB,7.35103965765169e+01°)
5.82103217770885e+05	(7.67361361601470e+00dB,7.36671287016512e+01°)
5.88843655355603e+05	(7.76668533548116e+00dB,7.38220599013956e+01°)
5.95662143529025e+05	(7.85990205854596e+00dB,7.39751993749840e+01°)
6.02559586074372e+05	(7.95326087803623e+00dB,7.41265564180935e+01°)
6.09536897240184e+05	(8.04675893378470e+00dB,7.42761404152927e+01°)
6.16595001861497e+05	(8.14039341222167e+00dB,7.44239608327923e+01°)
