,combo,TF,param,type,denom order,numer order,numer facator count,denom factor count,numer factor degrees,denom factor degrees,max denom degree,max numer degree,k,numer factors,denom factors
10,"(R_1, R_2, R_3, R_4, R_5/(C_5*R_5*s + 1), R_6)",\frac{C_{5} R_{1} R_{2} R_{4} R_{5} R_{6} s + R_{1} R_{2} R_{4} R_{6}}{- C_{5} R_{2} R_{3} R_{4} R_{5} s + R_{1} R_{4} R_{5} - R_{2} R_{3} R_{4} + R_{2} R_{3} R_{5} + R_{2} R_{4} R_{5} + R_{3} R_{4} R_{5}},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,-R_1*R_2*R_4*R_6,"[Poly(s + 1/(C_5*R_5), s, domain='ZZ(C_5,R_5)')]","[Poly(s + (-R_1*R_4*R_5 + R_2*R_3*R_4 - R_2*R_3*R_5 - R_2*R_4*R_5 - R_3*R_4*R_5)/(C_5*R_2*R_3*R_4*R_5), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4,R_5)')]"
11,"(R_1, R_2, R_3, R_4, R_5/(C_5*R_5*s + 1), 1/(C_6*s))",\frac{C_{5} R_{1} R_{2} R_{4} R_{5} s + R_{1} R_{2} R_{4}}{- C_{5} C_{6} R_{2} R_{3} R_{4} R_{5} s^{2} + s \left(C_{6} R_{1} R_{4} R_{5} - C_{6} R_{2} R_{3} R_{4} + C_{6} R_{2} R_{3} R_{5} + C_{6} R_{2} R_{4} R_{5} + C_{6} R_{3} R_{4} R_{5}\right)},,X-INVALID-ORDER,2,1,1,2,[1],"[1, 1]",1,1,-R_1*R_2*R_4/C_6,"[Poly(s + 1/(C_5*R_5), s, domain='ZZ(C_5,R_5)')]","[Poly(s, s, domain='ZZ'), Poly(s + (-R_1*R_4*R_5 + R_2*R_3*R_4 - R_2*R_3*R_5 - R_2*R_4*R_5 - R_3*R_4*R_5)/(C_5*R_2*R_3*R_4*R_5), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4,R_5)')]"
12,"(R_1, R_2, R_3, R_4, R_5/(C_5*R_5*s + 1), R_6 + 1/(C_6*s))",\frac{C_{5} C_{6} R_{1} R_{2} R_{4} R_{5} R_{6} s^{2} + R_{1} R_{2} R_{4} + s \left(C_{5} R_{1} R_{2} R_{4} R_{5} + C_{6} R_{1} R_{2} R_{4} R_{6}\right)}{- C_{5} C_{6} R_{2} R_{3} R_{4} R_{5} s^{2} + s \left(C_{6} R_{1} R_{4} R_{5} - C_{6} R_{2} R_{3} R_{4} + C_{6} R_{2} R_{3} R_{5} + C_{6} R_{2} R_{4} R_{5} + C_{6} R_{3} R_{4} R_{5}\right)},,X-INVALID-ORDER,2,2,2,2,"[1, 1]","[1, 1]",1,1,-R_1*R_2*R_4/C_6,"[Poly(s + 1/(C_5*R_5), s, domain='ZZ(C_5,R_5)'), Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)')]","[Poly(s, s, domain='ZZ'), Poly(s + (-R_1*R_4*R_5 + R_2*R_3*R_4 - R_2*R_3*R_5 - R_2*R_4*R_5 - R_3*R_4*R_5)/(C_5*R_2*R_3*R_4*R_5), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4,R_5)')]"
13,"(R_1, R_2, R_3, R_4, R_5/(C_5*R_5*s + 1), R_6/(C_6*R_6*s + 1))",\frac{C_{5} R_{1} R_{2} R_{4} R_{5} R_{6} s + R_{1} R_{2} R_{4} R_{6}}{- C_{5} C_{6} R_{2} R_{3} R_{4} R_{5} R_{6} s^{2} + R_{1} R_{4} R_{5} - R_{2} R_{3} R_{4} + R_{2} R_{3} R_{5} + R_{2} R_{4} R_{5} + R_{3} R_{4} R_{5} + s \left(- C_{5} R_{2} R_{3} R_{4} R_{5} + C_{6} R_{1} R_{4} R_{5} R_{6} - C_{6} R_{2} R_{3} R_{4} R_{6} + C_{6} R_{2} R_{3} R_{5} R_{6} + C_{6} R_{2} R_{4} R_{5} R_{6} + C_{6} R_{3} R_{4} R_{5} R_{6}\right)},"{'Q': sqrt(C_5)*sqrt(C_6)*sqrt(R_2)*sqrt(R_3)*sqrt(R_4)*sqrt(R_5)*sqrt(R_6)*sqrt(-R_1*R_4*R_5 + R_2*R_3*R_4 - R_2*R_3*R_5 - R_2*R_4*R_5 - R_3*R_4*R_5)/(C_5*R_2*R_3*R_4*R_5 - C_6*R_1*R_4*R_5*R_6 + C_6*R_2*R_3*R_4*R_6 - C_6*R_2*R_3*R_5*R_6 - C_6*R_2*R_4*R_5*R_6 - C_6*R_3*R_4*R_5*R_6), 'wo': sqrt(-R_1*R_4*R_5 + R_2*R_3*R_4 - R_2*R_3*R_5 - R_2*R_4*R_5 - R_3*R_4*R_5)/(sqrt(C_5)*sqrt(C_6)*sqrt(R_2)*sqrt(R_3)*sqrt(R_4)*sqrt(R_5)*sqrt(R_6)), 'bandwidth': (C_5*R_2*R_3*R_4*R_5 - C_6*R_1*R_4*R_5*R_6 + C_6*R_2*R_3*R_4*R_6 - C_6*R_2*R_3*R_5*R_6 - C_6*R_2*R_4*R_5*R_6 - C_6*R_3*R_4*R_5*R_6)/(C_5*C_6*R_2*R_3*R_4*R_5*R_6), 'K_LP': R_1*R_2*R_4*R_6/(R_1*R_4*R_5 - R_2*R_3*R_4 + R_2*R_3*R_5 + R_2*R_4*R_5 + R_3*R_4*R_5), 'K_HP': 0, 'K_BP': -C_5*R_1*R_2*R_4*R_5*R_6/(C_5*R_2*R_3*R_4*R_5 - C_6*R_1*R_4*R_5*R_6 + C_6*R_2*R_3*R_4*R_6 - C_6*R_2*R_3*R_5*R_6 - C_6*R_2*R_4*R_5*R_6 - C_6*R_3*R_4*R_5*R_6), 'Qz': None, 'Wz': None}",X-INVALID-NUMER,2,1,1,2,[1],"[1, 1]",1,1,-R_1*R_2*R_4*R_6,"[Poly(s + 1/(C_5*R_5), s, domain='ZZ(C_5,R_5)')]","[Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)'), Poly(s + (-R_1*R_4*R_5 + R_2*R_3*R_4 - R_2*R_3*R_5 - R_2*R_4*R_5 - R_3*R_4*R_5)/(C_5*R_2*R_3*R_4*R_5), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4,R_5)')]"
14,"(R_1, R_2, R_3, 1/(C_4*s), R_5, R_6)",\frac{R_{1} R_{2} R_{6}}{C_{4} R_{2} R_{3} R_{5} s + R_{1} R_{5} - R_{2} R_{3} + R_{2} R_{5} + R_{3} R_{5}},,X-INVALID-ORDER,1,0,0,1,[],[1],1,-1,R_1*R_2*R_6,[],"[Poly(s + (R_1*R_5 - R_2*R_3 + R_2*R_5 + R_3*R_5)/(C_4*R_2*R_3*R_5), s, domain='ZZ(C_4,R_1,R_2,R_3,R_5)')]"
15,"(R_1, R_2, R_3, 1/(C_4*s), R_5, 1/(C_6*s))",\frac{R_{1} R_{2}}{C_{4} C_{6} R_{2} R_{3} R_{5} s^{2} + s \left(C_{6} R_{1} R_{5} - C_{6} R_{2} R_{3} + C_{6} R_{2} R_{5} + C_{6} R_{3} R_{5}\right)},,X-INVALID-ORDER,2,0,0,2,[],"[1, 1]",1,-1,R_1*R_2/C_6,[],"[Poly(s, s, domain='ZZ'), Poly(s + (R_1*R_5 - R_2*R_3 + R_2*R_5 + R_3*R_5)/(C_4*R_2*R_3*R_5), s, domain='ZZ(C_4,R_1,R_2,R_3,R_5)')]"
16,"(R_1, R_2, R_3, 1/(C_4*s), R_5, R_6 + 1/(C_6*s))",\frac{C_{6} R_{1} R_{2} R_{6} s + R_{1} R_{2}}{C_{4} C_{6} R_{2} R_{3} R_{5} s^{2} + s \left(C_{6} R_{1} R_{5} - C_{6} R_{2} R_{3} + C_{6} R_{2} R_{5} + C_{6} R_{3} R_{5}\right)},,X-INVALID-ORDER,2,1,1,2,[1],"[1, 1]",1,1,R_1*R_2/C_6,"[Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)')]","[Poly(s, s, domain='ZZ'), Poly(s + (R_1*R_5 - R_2*R_3 + R_2*R_5 + R_3*R_5)/(C_4*R_2*R_3*R_5), s, domain='ZZ(C_4,R_1,R_2,R_3,R_5)')]"
17,"(R_1, R_2, R_3, 1/(C_4*s), 1/(C_5*s), R_6)",\frac{C_{5} R_{1} R_{2} R_{6} s}{R_{1} + R_{2} + R_{3} + s \left(C_{4} R_{2} R_{3} - C_{5} R_{2} R_{3}\right)},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,C_5*R_1*R_2**2*R_3*R_6*(C_4 - C_5)/(C_4*R_2*R_3 - C_5*R_2*R_3),"[Poly(s, s, domain='ZZ')]","[Poly(s + (R_1 + R_2 + R_3)/(C_4*R_2*R_3 - C_5*R_2*R_3), s, domain='ZZ(C_4,C_5,R_1,R_2,R_3)')]"
18,"(R_1, R_2, R_3, 1/(C_4*s), 1/(C_5*s), 1/(C_6*s))",\frac{C_{5} R_{1} R_{2}}{C_{6} R_{1} + C_{6} R_{2} + C_{6} R_{3} + s \left(C_{4} C_{6} R_{2} R_{3} - C_{5} C_{6} R_{2} R_{3}\right)},,X-INVALID-ORDER,1,0,0,1,[],[1],1,-1,C_5*R_1*R_2**2*R_3*(C_4 - C_5)/(C_4*C_6*R_2*R_3 - C_5*C_6*R_2*R_3),[],"[Poly(s + (R_1 + R_2 + R_3)/(C_4*R_2*R_3 - C_5*R_2*R_3), s, domain='ZZ(C_4,C_5,R_1,R_2,R_3)')]"
19,"(R_1, R_2, R_3, 1/(C_4*s), 1/(C_5*s), R_6 + 1/(C_6*s))",\frac{C_{5} C_{6} R_{1} R_{2} R_{6} s + C_{5} R_{1} R_{2}}{C_{6} R_{1} + C_{6} R_{2} + C_{6} R_{3} + s \left(C_{4} C_{6} R_{2} R_{3} - C_{5} C_{6} R_{2} R_{3}\right)},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,C_5*R_1*R_2**2*R_3*(C_4 - C_5)/(C_4*C_6*R_2*R_3 - C_5*C_6*R_2*R_3),"[Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)')]","[Poly(s + (R_1 + R_2 + R_3)/(C_4*R_2*R_3 - C_5*R_2*R_3), s, domain='ZZ(C_4,C_5,R_1,R_2,R_3)')]"
