Freq.,z.Mag,z.phase
68391.16473,-3.165180849,23.13153351
69183.09709,-3.149442013,23.37033892
69984.1996,-3.133395407,23.61102191
70794.57844,-3.117036181,23.8535798
71614.34102,-3.100359454,24.09800932
72443.59601,-3.083360317,24.34430664
73282.45331,-3.066033833,24.59246734
74131.02413,-3.04837504,24.84248638
74989.42093,-3.030378952,25.09435812
75857.7575,-3.012040562,25.34807629
76736.14894,-2.993354842,25.60363397
77624.71166,-2.974316747,25.86102361
78523.56346,-2.954921218,26.120237
79432.82347,-2.935163183,26.38126525
80352.61222,-2.915037557,26.64409881
81283.05162,-2.89453925,26.90872742
82224.26499,-2.873663163,27.17514015
83176.37711,-2.852404198,27.44332534
84139.51416,-2.830757252,27.71327064
85113.80382,-2.808717227,27.98496296
86099.37522,-2.78627903,28.2583885
87096.359,-2.763437576,28.53353271
88104.8873,-2.74018779,28.8103803
89125.09381,-2.716524612,29.08891524
90157.11376,-2.692442997,29.36912075
91201.08394,-2.667937922,29.6509793
92257.14272,-2.643004387,29.93447256
93325.43008,-2.617637419,30.21958149
94406.08763,-2.591832072,30.50628625
95499.2586,-2.565583436,30.79456624
96605.0879,-2.538886638,31.08440009
97723.7221,-2.511736841,31.37576567
98855.30947,-2.484129255,31.66864005
100000,-2.456059137,31.96299958
101157.9454,-2.427521791,32.25881979
102329.2992,-2.398512578,32.55607548
103514.2167,-2.369026915,32.85474068
104712.8548,-2.339060282,33.15478866
105925.3725,-2.308608221,33.45619194
107151.9305,-2.277666344,33.7589223
108392.6914,-2.246230333,34.06295077
109647.8196,-2.214295949,34.36824766
110917.4815,-2.181859028,34.67478254
112201.8454,-2.14891549,34.98252428
113501.0816,-2.115461342,35.29144105
114815.3621,-2.081492679,35.60150032
116144.8614,-2.047005691,35.91266889
117489.7555,-2.011996662,36.22491288
118850.2227,-1.976461977,36.53819775
120226.4435,-1.940398124,36.85248836
121618.6001,-1.903801698,37.1677489
123026.8771,-1.866669402,37.483943
124451.4612,-1.828998054,37.80103365
125892.5412,-1.790784586,38.11898332
127350.3081,-1.752026048,38.43775389
128824.9552,-1.712719613,38.75730674
130316.6778,-1.672862578,39.07760271
131825.6739,-1.632452367,39.39860216
133352.1432,-1.591486534,39.720265
134896.2883,-1.549962763,40.04255066
136458.3137,-1.507878874,40.36541819
138038.4265,-1.465232825,40.68882619
139636.8361,-1.422022708,41.01273295
141253.7545,-1.378246761,41.33709635
142889.3959,-1.333903361,41.66187399
144543.9771,-1.28899103,41.98702316
146217.7174,-1.243508435,42.31250088
147910.8388,-1.197454392,42.63826392
149623.5656,-1.150827862,42.96426885
151356.1248,-1.10362796,43.29047205
153108.7462,-1.055853946,43.61682973
154881.6619,-1.007505235,43.94329798
156675.107,-0.958581392,44.26983279
158489.3192,-0.909082134,44.59639007
160324.5391,-0.859007332,44.92292568
162181.0097,-0.808357008,45.24939547
164058.9773,-0.757131338,45.57575533
165958.6907,-0.705330648,45.90196114
167880.4018,-0.652955419,46.22796889
169824.3652,-0.600006281,46.55373465
171790.8387,-0.546484017,46.87921464
173780.0829,-0.492389559,47.20436522
175792.3614,-0.437723989,47.52914293
177827.941,-0.382488534,47.85350454
179887.0915,-0.326684572,48.17740705
181970.0859,-0.270313623,48.50080771
184077.2001,-0.213377352,48.82366409
186208.7137,-0.155877565,49.14593408
188364.9089,-0.097816211,49.46757588
190546.0718,-0.039195373,49.7885481
192752.4913,0.019982728,50.10880973
194984.46,0.079715736,50.42832017
197242.2736,0.140001166,50.74703926
199526.2315,0.200836403,51.06492733
201836.6364,0.262218706,51.38194516
204173.7945,0.324145209,51.69805406
206538.0156,0.386612927,52.01321585
208929.6131,0.449618757,52.32739293
211348.904,0.51315948,52.64054822
213796.209,0.577231766,52.95264526
216271.8524,0.641832175,53.26364817
218776.1624,0.706957163,53.57352169
221309.471,0.772603083,53.8822312
223872.1139,0.838766189,54.18974271
226464.4308,0.90544264,54.49602291
229086.7653,0.972628501,54.80103915
231739.465,1.040319751,55.10475946
234422.8815,1.108512283,55.40715258
237137.3706,1.177201908,55.70818794
239883.2919,1.246384358,56.00783571
242661.0095,1.316055291,56.30606674
245470.8916,1.386210297,56.60285266
248313.3105,1.456844894,56.89816579
251188.6432,1.527954539,57.19197923
254097.2706,1.599534628,57.48426681
257039.5783,1.671580502,57.77500311
260015.9563,1.744087446,58.06416346
263026.7992,1.817050698,58.35172396
266072.506,1.890465449,58.63766146
269153.4804,1.964326847,58.92195357
272270.1308,2.038630003,59.20457866
275422.8703,2.113369989,59.48551586
278612.1169,2.188541848,59.76474505
281838.2931,2.264140591,60.04224687
285101.8268,2.340161206,60.3180027
288403.1503,2.416598657,60.59199469
291742.7014,2.493447888,60.86420571
295120.9227,2.570703829,61.13461939
298538.2619,2.648361395,61.40322007
301995.172,2.726415491,61.66999284
305492.1113,2.804861014,61.9349235
309029.5433,2.883692859,62.19799856
312607.9367,2.962905918,62.45920525
316227.766,3.042495082,62.71853148
319889.511,3.122455249,62.97596587
323593.6569,3.202781321,63.2314977
327340.6949,3.283468209,63.48511695
331131.1215,3.364510836,63.73681423
334965.4392,3.445904138,63.98658083
338844.1561,3.527643065,64.23440867
342767.7865,3.609722589,64.4802903
346736.8505,3.692137697,64.7242189
350751.874,3.774883402,64.96618824
354813.3892,3.857954738,65.20619272
358921.9346,3.941346766,65.44422729
363078.0548,4.025054576,65.68028752
367282.3005,4.109073286,65.9143695
371535.2291,4.193398043,66.1464699
375837.4043,4.27802403,66.37658592
380189.3963,4.362946461,66.60471528
384591.782,4.448160588,66.83085624
389045.145,4.533661698,67.05500752
393550.0755,4.619445116,67.27716838
398107.1706,4.705506207,67.49733853
402717.0343,4.791840377,67.71551813
407380.2778,4.87844307,67.93170783
412097.5191,4.965309777,68.14590871
416869.3835,5.052436028,68.35812225
421696.5034,5.1398174,68.56835038
426579.5188,5.227449515,68.77659541
431519.0768,5.315328038,68.98286007
436515.8322,5.403448684,69.18714743
441570.4474,5.491807211,69.38946096
446683.5922,5.580399429,69.58980446
451855.9444,5.669221191,69.7881821
457088.1896,5.758268404,69.98459835
462381.0214,5.847537019,70.17905802
467735.1413,5.937023039,70.37156623
473151.259,6.026722516,70.56212839
478630.0923,6.116631552,70.75075018
484172.3676,6.206746298,70.93743759
489778.8194,6.297062957,71.12219683
495450.1908,6.38757778,71.3050344
501187.2336,6.47828707,71.48595702
506990.7083,6.569187181,71.66497165
512861.384,6.660274516,71.84208547
518800.0389,6.751545528,72.01730586
524807.4602,6.842996722,72.19064042
530884.4442,6.934624653,72.36209693
537031.7964,7.026425925,72.53168336
543250.3315,7.118397193,72.69940783
549540.8739,7.210535162,72.86527865
555904.2573,7.302836584,73.02930427
562341.3252,7.395298264,73.19149328
568852.9308,7.487917054,73.35185443
575439.9373,7.580689855,73.51039658
582103.2178,7.673613616,73.6671287
588843.6554,7.766685335,73.8220599
595662.1435,7.859902059,73.97519937
602559.5861,7.953260878,74.12655642
609536.8972,8.046758934,74.27614042
616595.0019,8.140393412,74.42396083
623734.8355,8.234161546,74.57002721
630957.3445,8.328060613,74.71434916
638263.4862,8.422087938,74.85693635
645654.229,8.516240888,74.99779849
653130.5526,8.610516878,75.13694537
660693.448,8.704913362,75.2743868
668343.9176,8.799427842,75.41013262
676082.9754,8.89405786,75.54419271
683911.6473,8.988801002,75.67657697
691830.9709,9.083654894,75.80729533
699841.996,9.178617207,75.93635771
707945.7844,9.273685648,76.06377407
716143.4102,9.368857967,76.18955433
724435.9601,9.464131954,76.31370844
732824.5331,9.559505437,76.43624634
741310.2413,9.654976283,76.55717796
749894.2093,9.750542398,76.67651319
758577.575,9.846201723,76.79426192
767361.4894,9.94195224,76.91043401
776247.1166,10.03779196,77.02503931
785235.6346,10.13371894,77.1380876
794328.2347,10.22973127,77.24958865
803526.1222,10.32582707,77.35955219
812830.5162,10.42200449,77.4679879
822242.6499,10.51826172,77.57490541
831763.7711,10.61459699,77.6803143
841395.1416,10.71100855,77.78422411
851138.0382,10.80749469,77.8866443
860993.7522,10.90405373,77.9875843
870963.59,11.00068402,78.08705346
881048.873,11.09738393,78.18506105
891250.9381,11.19415188,78.28161631
901571.1376,11.29098631,78.37672837
912010.8394,11.38788568,78.47040633
922571.4272,11.48484849,78.56265917
933254.3008,11.58187326,78.65349583
944060.8763,11.67895855,78.74292515
954992.586,11.77610292,78.83095589
966050.879,11.87330499,78.91759674
977237.221,11.97056338,79.00285628
988553.0947,12.06787675,79.08674304
1000000,12.16524377,79.16926543
1011579.454,12.26266314,79.25043177
1023292.992,12.3601336,79.33025031
1035142.167,12.45765389,79.40872919
1047128.548,12.55522278,79.48587646
1059253.725,12.65283907,79.56170007
1071519.305,12.75050156,79.63620787
1083926.914,12.84820911,79.70940762
1096478.196,12.94596055,79.78130698
1109174.815,13.04375478,79.8519135
1122018.454,13.14159069,79.92123462
1135010.816,13.23946719,79.98927771
1148153.621,13.33738322,80.05604999
1161448.614,13.43533773,80.12155861
1174897.555,13.53332969,80.1858106
1188502.227,13.6313581,80.24881289
1202264.435,13.72942195,80.31057229
1216186.001,13.82752027,80.3710955
1230268.771,13.92565211,80.43038913
1244514.612,14.0238165,80.48845967
1258925.412,14.12201253,80.54531348
1273503.081,14.22023928,80.60095684
1288249.552,14.31849585,80.65539591
1303166.778,14.41678134,80.70863671
1318256.739,14.5150949,80.76068519
1333521.432,14.61343566,80.81154716
1348962.883,14.71180278,80.86122831
1364583.137,14.81019541,80.90973424
1380384.265,14.90861275,80.95707042
1396368.361,15.00705398,81.00324221
1412537.545,15.1055183,81.04825486
1428893.959,15.20400493,81.09211348
1445439.771,15.30251309,81.1348231
1462177.174,15.40104202,81.1763886
1479108.388,15.49959097,81.21681477
1496235.656,15.59815918,81.25610628
1513561.248,15.69674592,81.29426767
1531087.462,15.79535047,81.33130337
1548816.619,15.8939721,81.3672177
1566751.07,15.99261012,81.40201486
1584893.192,16.09126381,81.43569892
1603245.391,16.18993248,81.46827386
1621810.097,16.28861545,81.49974352
1640589.773,16.38731204,81.53011162
1659586.907,16.48602157,81.55938179
1678804.018,16.58474338,81.58755752
1698243.652,16.68347681,81.61464219
1717908.387,16.78222121,81.64063906
1737800.829,16.88097592,81.66555129
1757923.614,16.97974031,81.68938189
1778279.41,17.07851374,81.71213379
1798870.915,17.17729557,81.73380977
1819700.859,17.27608517,81.75441253
1840772.001,17.37488191,81.77394462
1862087.137,17.47368519,81.79240849
1883649.089,17.57249437,81.80980648
1905460.718,17.67130884,81.82614079
1927524.913,17.77012799,81.84141354
1949844.6,17.86895122,81.8556267
1972422.736,17.9677779,81.86878214
1995262.315,18.06660744,81.88088163
2018366.364,18.16543924,81.89192679
2041737.945,18.26427268,81.90191916
2065380.156,18.36310718,81.91086015
2089296.131,18.46194212,81.91875105
2113489.04,18.56077691,81.92559304
2137962.09,18.65961094,81.93138721
2162718.524,18.75844363,81.9361345
2187761.624,18.85727436,81.93983576
2213094.71,18.95610254,81.94249172
2238721.139,19.05492756,81.944103
2264644.308,19.15374882,81.94467011
2290867.653,19.25256572,81.94419344
2317394.65,19.35137765,81.94267328
2344228.815,19.45018401,81.9401098
2371373.706,19.54898417,81.93650307
2398832.919,19.64777754,81.93185305
2426610.095,19.74656348,81.92615957
2454708.916,19.84534139,81.91942237
2483133.105,19.94411065,81.91164109
2511886.432,20.04287061,81.90281524
2540972.706,20.14162066,81.89294423
2570395.783,20.24036017,81.88202738
2600159.563,20.33908848,81.87006387
2630267.992,20.43780496,81.8570528
2660725.06,20.53650896,81.84299316
2691534.804,20.63519983,81.82788384
2722701.308,20.7338769,81.8117236
2754228.703,20.83253951,81.79451114
2786121.169,20.93118699,81.77624501
2818382.931,21.02981866,81.7569237
2851018.268,21.12843383,81.73654557
2884031.503,21.22703182,81.71510889
2917427.014,21.32561191,81.69261183
2951209.227,21.42417341,81.66905245
2985382.619,21.5227156,81.64442874
3019951.72,21.62123775,81.61873856
3054921.113,21.71973914,81.59197969
3090295.433,21.81821901,81.56414982
3126079.367,21.91667663,81.53524652
3162277.66,22.01511124,81.5052673
3198895.11,22.11352206,81.47420955
3235936.569,22.21190831,81.44207058
3273406.949,22.3102692,81.4088476
3311311.215,22.40860395,81.37453775
3349654.392,22.50691172,81.33913806
3388441.561,22.60519171,81.30264549
3427677.865,22.70344308,81.26505689
3467368.505,22.80166498,81.22636904
3507518.74,22.89985656,81.18657865
3548133.892,22.99801695,81.14568232
3589219.346,23.09614526,81.10367658
3630780.548,23.19424059,81.06055789
3672823.005,23.29230205,81.01632262
3715352.291,23.39032871,80.97096706
3758374.043,23.48831963,80.92448743
3801893.963,23.58627386,80.87687988
3845917.82,23.68419044,80.82814048
3890451.45,23.78206838,80.77826524
3935500.755,23.8799067,80.72725008
3981071.706,23.97770438,80.67509088
4027170.343,24.0754604,80.62178344
4073802.778,24.17317372,80.56732349
4120975.191,24.27084327,80.5117067
4168693.835,24.36846799,80.4549287
4216965.034,24.46604678,80.39698504
4265795.188,24.56357853,80.33787123
4315190.768,24.66106212,80.27758271
4365158.322,24.75849641,80.21611488
4415704.474,24.85588022,80.1534631
4466835.922,24.9532124,80.08962266
4518559.444,25.05049172,80.02458882
4570881.896,25.14771698,79.95835679
4623810.214,25.24488695,79.89092177
4677351.413,25.34200035,79.82227888
4731512.59,25.43905593,79.75242323
4786300.923,25.53605238,79.6813499
4841723.676,25.63298838,79.60905394
4897788.194,25.72986261,79.53553037
4954501.908,25.8266737,79.46077419
5011872.336,25.92342028,79.38478037
5069907.083,26.02010094,79.30754389
5128613.84,26.11671427,79.22905969
5188000.389,26.21325882,79.14932272
5248074.602,26.30973313,79.06832791
5308844.442,26.40613571,78.98607019
5370317.964,26.50246506,78.90254449
5432503.315,26.59871964,78.81774575
5495408.739,26.6948979,78.73166892
5559042.573,26.79099826,78.64430895
5623413.252,26.88701912,78.55566081
5688529.308,26.98295885,78.46571949
5754399.373,27.07881582,78.37448
5821032.178,27.17458835,78.28193739
5888436.554,27.27027475,78.18808673
5956621.435,27.3658733,78.09292313
6025595.861,27.46138225,77.99644174
6095368.972,27.55679985,77.89863774
6165950.019,27.6521243,77.79950639
6237348.355,27.74735378,77.69904297
6309573.445,27.84248647,77.59724285
6382634.862,27.93752049,77.49410145
6456542.29,28.03245397,77.38961424
6531305.526,28.12728498,77.28377679
6606934.48,28.2220116,77.17658473
6683439.176,28.31663187,77.06803379
6760829.754,28.41114379,76.95811977
6839116.473,28.50554537,76.84683858
6918309.709,28.59983456,76.73418621
6998419.96,28.69400932,76.62015878
7079457.844,28.78806757,76.5047525
7161434.102,28.88200719,76.3879637
7244359.601,28.97582607,76.26978883
7328245.331,29.06952205,76.15022447
7413102.413,29.16309296,76.02926734
7498942.093,29.2565366,75.90691428
7585775.75,29.34985075,75.78316229
7673614.894,29.44303316,75.65800852
7762471.166,29.53608159,75.53145026
7852356.346,29.62899373,75.40348499
7943282.347,29.72176729,75.27411033
8035261.222,29.81439992,75.1433241
8128305.162,29.90688929,75.01112428
8222426.499,29.99923303,74.87750905
8317637.711,30.09142875,74.74247679
8413951.416,30.18347403,74.60602606
8511380.382,30.27536645,74.46815566
8609937.522,30.36710357,74.32886456
8709635.9,30.45868293,74.188152
8810488.73,30.55010205,74.0460174
8912509.381,30.64135842,73.90246044
9015711.376,30.73244955,73.75748103
9120108.394,30.82337291,73.61107934
9225714.272,30.91412595,73.46325578
9332543.008,31.00470614,73.31401102
9440608.763,31.0951109,73.163346
9549925.86,31.18533766,73.01126194
9660508.79,31.27538384,72.85776032
9772372.21,31.36524684,72.70284293
9885530.947,31.45492406,72.54651184
10000000,31.5444129,72.38876942
10115794.54,31.63371074,72.22961833
10232929.92,31.72281496,72.06906158
10351421.67,31.81172293,71.90710247
10471285.48,31.90043204,71.74374463
10592537.25,31.98893966,71.57899201
10715193.05,32.07724317,71.41284892
10839269.14,32.16533995,71.24531999
10964781.96,32.25322737,71.07641022
11091748.15,32.34090282,70.90612495
11220184.54,32.4283637,70.73446988
11350108.16,32.51560742,70.56145107
11481536.21,32.60263138,70.38707495
11614486.14,32.68943301,70.21134835
11748975.55,32.77600975,70.03427845
11885022.27,32.86235906,69.85587283
12022644.35,32.9484784,69.67613944
12161860.01,33.03436528,69.49508664
12302687.71,33.12001721,69.31272319
12445146.12,33.20543172,69.12905822
12589254.12,33.29060638,68.94410131
12735030.81,33.37553879,68.7578624
12882495.52,33.46022657,68.57035186
13031667.78,33.54466738,68.38158046
13182567.39,33.62885892,68.1915594
13335214.32,33.71279891,68.00030027
13489628.83,33.79648514,67.80781509
13645831.37,33.87991541,67.61411629
13803842.65,33.96308759,67.4192167
13963683.61,34.0459996,67.22312958
14125375.45,34.1286494,67.0258686
14288939.59,34.211035,66.82744784
14454397.71,34.29315449,66.62788177
14621771.74,34.375006,66.42718528
14791083.88,34.45658773,66.22537367
14962356.56,34.53789796,66.02246261
15135612.48,34.618935,65.8184682
15310874.62,34.69969728,65.61340688
15488166.19,34.78018329,65.4072955
15667510.7,34.86039158,65.20015128
15848931.92,34.9403208,64.99199179
16032453.91,35.01996969,64.78283497
16218100.97,35.09933707,64.57269909
16405897.73,35.17842186,64.36160277
16595869.07,35.25722306,64.14956494
16788040.18,35.33573979,63.93660486
16982436.52,35.41397127,63.72274207
17179083.87,35.49191679,63.50799638
17378008.29,35.56957581,63.29238791
17579236.14,35.64694785,63.075937
17782794.1,35.72403258,62.85866422
17988709.15,35.80082977,62.64059038
18197008.59,35.87733932,62.42173646
18407720.01,35.95356125,62.20212364
18620871.37,36.02949572,61.98177325
18836490.89,36.10514302,61.76070673
19054607.18,36.18050357,61.53894565
19275249.13,36.25557792,61.31651165
19498446,36.33036679,61.09342645
19724227.36,36.40487102,60.86971176
19952623.15,36.4790916,60.64538934
20183663.64,36.55302968,60.42048089
20417379.45,36.62668655,60.19500806
20653801.56,36.70006368,59.96899241
20892961.31,36.77316268,59.74245539
21134890.4,36.8459853,59.51541828
21379620.9,36.9185335,59.28790219
21627185.24,36.99080937,59.05992799
21877616.24,37.06281518,58.83151628
22130947.1,37.13455336,58.60268739
22387211.39,37.20602651,58.3734613
22646443.08,37.27723742,58.14385759
22908676.53,37.34818903,57.91389546
23173946.5,37.41888447,57.68359362
23442288.15,37.48932703,57.45297032
23713737.06,37.5595202,57.22204321
23988329.19,37.62946762,56.9908294
24266100.95,37.69917312,56.75934536
24547089.16,37.76864071,56.52760686
24831331.05,37.83787456,56.29562898
25118864.32,37.90687905,56.063426
25409727.06,37.97565869,55.83101141
25703957.83,38.04421822,55.59839784
26001595.63,38.1125625,55.36559698
26302679.92,38.1806966,55.13261959
26607250.6,38.24862575,54.89947542
26915348.04,38.31635536,54.66617314
27227013.08,38.38389099,54.43272035
27542287.03,38.45123838,54.19912347
27861211.69,38.51840344,53.96538773
28183829.31,38.58539222,53.73151711
28510182.68,38.65221094,53.49751426
28840315.03,38.71886599,53.26338051
29174270.14,38.78536389,53.02911578
29512092.27,38.85171133,52.79471853
29853826.19,38.91791511,52.56018572
30199517.2,38.98398222,52.32551277
30549211.13,39.04991974,52.09069351
30902954.33,39.11573491,51.85572009
31260793.67,39.18143509,51.62058299
31622776.6,39.24702776,51.38527095
31988951.1,39.31252052,51.14977091
32359365.69,39.37792107,50.91406797
32734069.49,39.44323723,50.67814536
33113112.15,39.50847691,50.44198436
33496543.92,39.57364812,50.2055643
33884415.61,39.63875895,49.96886248
34276778.65,39.70381757,49.73185411
34673685.05,39.76883224,49.49451234
35075187.4,39.83381126,49.25680813
35481338.92,39.89876301,49.01871027
35892193.46,39.9636959,48.78018529
36307805.48,40.02861841,48.54119747
36728230.05,40.09353904,48.30170875
37153522.91,40.15846632,48.06167873
37583740.43,40.22340879,47.8210646
38018939.63,40.28837503,47.57982113
38459178.2,40.35337358,47.3379006
38904514.5,40.418413,47.09525278
39355007.55,40.48350184,46.85182491
39810717.06,40.54864861,46.60756162
40271703.43,40.61386179,46.36240494
40738027.78,40.67914982,46.11629425
41209751.91,40.74452107,45.8691662
41686938.35,40.80998387,45.62095477
42169650.34,40.87554646,45.37159113
42657951.88,40.94121699,45.1210037
43151907.68,41.00700353,44.86911804
43651583.22,41.07291404,44.61585687
44157044.74,41.13895635,44.36114003
44668359.22,41.20513817,44.1048844
45185594.44,41.27146706,43.84700394
45708818.96,41.33795045,43.58740961
46238102.14,41.40459558,43.32600935
46773514.13,41.47140951,43.06270803
47315125.9,41.53839914,42.79740748
47863009.23,41.60557114,42.53000637
48417236.76,41.67293195,42.26040025
48977881.94,41.74048782,41.9884815
49545019.08,41.80824472,41.71413926
50118723.36,41.87620836,41.43725946
50699070.83,41.94438419,41.15772474
51286138.4,42.01277735,40.87541445
51880003.89,42.08139269,40.5902046
52480746.02,42.15023473,40.30196783
53088444.42,42.21930762,40.01057339
53703179.64,42.28861519,39.71588712
54325033.15,42.35816085,39.41777137
54954087.39,42.42794765,39.11608504
55590425.73,42.49797817,38.81068349
56234132.52,42.5682546,38.50141856
56885293.08,42.63877862,38.18813849
57543993.73,42.70955145,37.87068797
58210321.78,42.7805738,37.54890802
58884365.54,42.85184583,37.22263606
59566214.35,42.92336713,36.89170582
60255958.61,42.99513673,36.55594737
60953689.72,43.067153,36.21518707
61659500.19,43.1394137,35.86924758
62373483.55,43.21191589,35.51794784
63095734.45,43.28465591,35.16110306
63826348.62,43.35762936,34.79852475
64565422.9,43.43083106,34.4300207
