Freq.,V(ideal_out).mag,V(ideal_out).phase,V(lpf_3rd_lt1818).mag,V(lpf_3rd_lt1818).phase
26607.2506,60.79723888,-0.176387508,61.14352688,-0.195843653
26915.34804,60.79723848,-0.178429977,61.14352646,-0.198111413
27227.01308,60.79723807,-0.180496096,61.14352603,-0.200405432
27542.28703,60.79723765,-0.182586139,61.14352559,-0.202726014
27861.21169,60.79723723,-0.184700384,61.14352515,-0.205073467
28183.82931,60.79723679,-0.186839111,61.14352469,-0.207448103
28510.18268,60.79723634,-0.189002603,61.14352422,-0.209850235
28840.31503,60.79723588,-0.191191147,61.14352374,-0.212280183
29174.27014,60.79723541,-0.193405033,61.14352325,-0.214738268
29512.09227,60.79723493,-0.195644554,61.14352275,-0.217224816
29853.82619,60.79723443,-0.197910008,61.14352224,-0.219740157
30199.5172,60.79723393,-0.200201694,61.14352171,-0.222284624
30549.21113,60.79723341,-0.202519917,61.14352117,-0.224858554
30902.95433,60.79723289,-0.204864983,61.14352062,-0.227462289
31260.79367,60.79723235,-0.207237204,61.14352006,-0.230096173
31622.7766,60.79723179,-0.209636893,61.14351948,-0.232760557
31988.9511,60.79723123,-0.21206437,61.14351889,-0.235455792
32359.36569,60.79723065,-0.214519955,61.14351829,-0.238182236
32734.06949,60.79723006,-0.217003975,61.14351767,-0.240940251
33113.11215,60.79722945,-0.219516757,61.14351704,-0.243730202
33496.54392,60.79722883,-0.222058637,61.1435164,-0.246552459
33884.41561,60.7972282,-0.224629949,61.14351573,-0.249407396
34276.77865,60.79722755,-0.227231036,61.14351506,-0.252295392
34673.68505,60.79722688,-0.229862242,61.14351436,-0.255216829
35075.1874,60.7972262,-0.232523916,61.14351366,-0.258172094
35481.33892,60.79722551,-0.23521641,61.14351293,-0.261161579
35892.19346,60.79722479,-0.237940082,61.14351219,-0.26418568
36307.80548,60.79722407,-0.240695292,61.14351143,-0.267244799
36728.23005,60.79722332,-0.243482406,61.14351065,-0.270339341
37153.52291,60.79722256,-0.246301792,61.14350986,-0.273469715
37583.74043,60.79722178,-0.249153826,61.14350904,-0.276636337
38018.93963,60.79722098,-0.252038884,61.14350821,-0.279839626
38459.1782,60.79722016,-0.254957349,61.14350736,-0.283080008
38904.5145,60.79721932,-0.257909608,61.14350649,-0.286357911
39355.00755,60.79721847,-0.260896053,61.14350559,-0.28967377
39810.71706,60.79721759,-0.263917079,61.14350468,-0.293028025
40271.70343,60.7972167,-0.266973086,61.14350375,-0.296421119
40738.02778,60.79721578,-0.27006448,61.14350279,-0.299853504
41209.75191,60.79721484,-0.27319167,61.14350181,-0.303325633
41686.93835,60.79721388,-0.276355071,61.14350081,-0.306837968
42169.65034,60.7972129,-0.279555102,61.14349978,-0.310390973
42657.95188,60.79721189,-0.282792187,61.14349874,-0.313985119
43151.90768,60.79721086,-0.286066756,61.14349766,-0.317620883
43651.58322,60.79720981,-0.289379242,61.14349657,-0.321298747
44157.04474,60.79720873,-0.292730085,61.14349544,-0.325019198
44668.35922,60.79720763,-0.296119728,61.14349429,-0.32878273
45185.59444,60.7972065,-0.29954862,61.14349312,-0.33258984
45708.81896,60.79720535,-0.303017217,61.14349191,-0.336441035
46238.10214,60.79720416,-0.306525979,61.14349068,-0.340336823
46773.51413,60.79720296,-0.310075369,61.14348942,-0.344277722
47315.1259,60.79720172,-0.313665858,61.14348813,-0.348264254
47863.00923,60.79720045,-0.317297924,61.14348681,-0.352296948
48417.23676,60.79719916,-0.320972046,61.14348546,-0.356376337
48977.88194,60.79719783,-0.324688711,61.14348408,-0.360502963
49545.01908,60.79719647,-0.328448414,61.14348266,-0.364677372
50118.72336,60.79719509,-0.332251651,61.14348122,-0.368900118
50699.07083,60.79719367,-0.336098926,61.14347974,-0.37317176
51286.1384,60.79719221,-0.339990751,61.14347822,-0.377492865
51880.00389,60.79719072,-0.34392764,61.14347667,-0.381864005
52480.74602,60.7971892,-0.347910115,61.14347508,-0.38628576
53088.44442,60.79718764,-0.351938705,61.14347346,-0.390758716
53703.17964,60.79718605,-0.356013943,61.1434718,-0.395283465
54325.03315,60.79718442,-0.360136369,61.1434701,-0.399860608
54954.08739,60.79718275,-0.36430653,61.14346836,-0.40449075
55590.42573,60.79718104,-0.368524979,61.14346658,-0.409174506
56234.13252,60.7971793,-0.372792274,61.14346475,-0.413912497
56885.29308,60.79717751,-0.377108981,61.14346289,-0.41870535
57543.99373,60.79717568,-0.381475672,61.14346098,-0.423553701
58210.32178,60.7971738,-0.385892926,61.14345903,-0.428458191
58884.36554,60.79717189,-0.390361329,61.14345703,-0.433419473
59566.21435,60.79716993,-0.394881473,61.14345499,-0.438438202
60255.95861,60.79716792,-0.399453956,61.1434529,-0.443515044
60953.68972,60.79716587,-0.404079385,61.14345076,-0.448650671
61659.50019,60.79716377,-0.408758373,61.14344857,-0.453845766
62373.48355,60.79716162,-0.413491541,61.14344632,-0.459101015
63095.73445,60.79715942,-0.418279514,61.14344403,-0.464417117
63826.34862,60.79715717,-0.423122929,61.14344168,-0.469794774
64565.4229,60.79715486,-0.428022426,61.14343928,-0.4752347
65313.05526,60.7971525,-0.432978656,61.14343682,-0.480737617
66069.3448,60.79715009,-0.437992275,61.14343431,-0.486304252
66834.39176,60.79714762,-0.443063947,61.14343174,-0.491935345
67608.29754,60.7971451,-0.448194346,61.1434291,-0.497631641
68391.16473,60.79714251,-0.45338415,61.14342641,-0.503393896
69183.09709,60.79713987,-0.458634048,61.14342365,-0.509222872
69984.1996,60.79713716,-0.463944735,61.14342083,-0.515119343
70794.57844,60.79713439,-0.469316916,61.14341794,-0.52108409
71614.34102,60.79713156,-0.474751301,61.14341499,-0.527117904
72443.59601,60.79712866,-0.480248613,61.14341196,-0.533221584
73282.45331,60.79712569,-0.485809578,61.14340887,-0.53939594
74131.02413,60.79712265,-0.491434935,61.1434057,-0.545641789
74989.42093,60.79711954,-0.497125428,61.14340246,-0.551959959
75857.7575,60.79711636,-0.502881812,61.14339915,-0.558351288
76736.14894,60.79711311,-0.50870485,61.14339575,-0.564816623
77624.71166,60.79710978,-0.514595314,61.14339228,-0.57135682
78523.56346,60.79710637,-0.520553983,61.14338873,-0.577972747
79432.82347,60.79710288,-0.526581649,61.14338509,-0.58466528
80352.61222,60.79709932,-0.532679109,61.14338137,-0.591435307
81283.05162,60.79709567,-0.538847173,61.14337757,-0.598283724
82224.26499,60.79709193,-0.545086656,61.14337367,-0.605211439
83176.37711,60.79708811,-0.551398387,61.14336969,-0.61221937
84139.51416,60.79708419,-0.557783202,61.14336561,-0.619308446
85113.80382,60.79708019,-0.564241946,61.14336143,-0.626479606
86099.37522,60.79707609,-0.570775477,61.14335716,-0.633733802
87096.359,60.7970719,-0.577384659,61.14335279,-0.641071993
88104.8873,60.79706761,-0.584070369,61.14334832,-0.648495154
89125.09381,60.79706322,-0.590833493,61.14334374,-0.656004266
90157.11376,60.79705873,-0.597674927,61.14333906,-0.663600327
91201.08394,60.79705413,-0.604595577,61.14333427,-0.671284342
92257.14272,60.79704943,-0.611596361,61.14332937,-0.679057329
93325.43008,60.79704462,-0.618678207,61.14332435,-0.68692032
94406.08763,60.79703969,-0.625842053,61.14331921,-0.694874355
95499.2586,60.79703465,-0.633088849,61.14331396,-0.702920489
96605.0879,60.79702949,-0.640419555,61.14330858,-0.711059788
97723.7221,60.79702421,-0.647835142,61.14330308,-0.719293331
98855.30947,60.79701881,-0.655336593,61.14329745,-0.727622209
100000,60.79701329,-0.662924903,61.14329169,-0.736047526
101157.9454,60.79700763,-0.670601076,61.14328579,-0.744570398
102329.2992,60.79700185,-0.678366131,61.14327976,-0.753191955
103514.2167,60.79699592,-0.686221096,61.14327359,-0.761913339
104712.8548,60.79698986,-0.694167012,61.14326727,-0.770735706
105925.3725,60.79698366,-0.702204932,61.14326081,-0.779660225
107151.9305,60.79697732,-0.710335921,61.14325419,-0.788688078
108392.6914,60.79697083,-0.718561057,61.14324742,-0.797820463
109647.8196,60.79696418,-0.72688143,61.1432405,-0.807058589
110917.4815,60.79695738,-0.735298142,61.14323341,-0.816403681
112201.8454,60.79695043,-0.743812309,61.14322615,-0.825856976
113501.0816,60.79694331,-0.752425058,61.14321873,-0.835419728
114815.3621,60.79693602,-0.761137532,61.14321114,-0.845093204
116144.8614,60.79692857,-0.769950885,61.14320337,-0.854878685
117489.7555,60.79692094,-0.778866284,61.14319541,-0.864777468
118850.2227,60.79691313,-0.787884912,61.14318728,-0.874790865
120226.4435,60.79690514,-0.797007962,61.14317895,-0.884920203
121618.6001,60.79689697,-0.806236645,61.14317043,-0.895166824
123026.8771,60.79688861,-0.815572182,61.14316171,-0.905532085
124451.4612,60.79688005,-0.825015811,61.14315278,-0.916017361
125892.5412,60.79687129,-0.834568783,61.14314365,-0.92662404
127350.3081,60.79686233,-0.844232365,61.14313431,-0.937353529
128824.9552,60.79685315,-0.854007836,61.14312475,-0.948207247
130316.6778,60.79684377,-0.863896492,61.14311496,-0.959186635
131825.6739,60.79683417,-0.873899642,61.14310495,-0.970293146
133352.1432,60.79682434,-0.884018614,61.14309471,-0.981528253
134896.2883,60.79681428,-0.894254746,61.14308422,-0.992893443
136458.3137,60.79680399,-0.904609397,61.1430735,-1.004390222
138038.4265,60.79679346,-0.915083936,61.14306252,-1.016020115
139636.8361,60.79678269,-0.925679754,61.14305129,-1.027784662
141253.7545,60.79677166,-0.936398252,61.14303979,-1.039685421
142889.3959,60.79676038,-0.947240852,61.14302803,-1.051723969
144543.9771,60.79674883,-0.95820899,61.14301599,-1.063901902
146217.7174,60.79673702,-0.969304119,61.14300368,-1.076220832
147910.8388,60.79672493,-0.980527709,61.14299107,-1.088682393
149623.5656,60.79671256,-0.991881248,61.14297817,-1.101288234
151356.1248,60.7966999,-1.003366239,61.14296498,-1.114040026
153108.7462,60.79668694,-1.014984204,61.14295147,-1.126939458
154881.6619,60.79667369,-1.026736682,61.14293765,-1.13998824
156675.107,60.79666012,-1.03862523,61.14292351,-1.1531881
