time,V(lpf_3rd_10mhz),V(lpf_3rd_50mhz)
4.76025E-09,-0.001719426,-0.001632838
4.84168E-09,-0.001682997,-0.001442273
4.92311E-09,-0.001642007,-0.001228826
4.99882E-09,-0.001598596,-0.001003973
5.07454E-09,-0.001548997,-0.000748967
5.15025E-09,-0.001493209,-0.000463809
5.22596E-09,-0.001431233,-0.000148499
5.30168E-09,-0.001363068,0.000196964
5.37739E-09,-0.001288714,0.00057258
5.45311E-09,-0.001208172,0.000978348
5.55739E-09,-0.001086174,0.001591558
5.66168E-09,-0.000947276,0.002283826
5.76596E-09,-0.000791478,0.003055151
5.87025E-09,-0.000618779,0.003905533
5.97454E-09,-0.000429179,0.004834973
6.07882E-09,-0.000222678,0.00584347
6.18311E-09,7.22612E-07,0.006931025
6.30882E-09,0.000295754,0.0083627
6.43454E-09,0.000624261,0.009940125
6.56025E-09,0.000986243,0.0116633
6.68596E-09,0.001381701,0.01353223
6.81168E-09,0.001810633,0.0155469
6.93739E-09,0.002273041,0.01770733
7.06311E-09,0.002768924,0.0200135
7.19882E-09,0.003347112,0.02268673
7.33454E-09,0.00397348,0.025545
7.47025E-09,0.004648029,0.02858833
7.60596E-09,0.00537076,0.0318167
7.74168E-09,0.006141672,0.03523013
7.87739E-09,0.006960766,0.0388286
8.01311E-09,0.00782804,0.04261213
8.08739E-09,0.008325756,0.04476098
8.16168E-09,0.00883938,0.04696225
8.23596E-09,0.009368913,0.04921591
8.31025E-09,0.009914356,0.05152199
8.38454E-09,0.01047571,0.05388047
8.45882E-09,0.01105297,0.05629135
8.53311E-09,0.01164614,0.05875465
8.61596E-09,0.01232701,0.06156268
8.69882E-09,0.01302851,0.0644282
8.78168E-09,0.01375065,0.06735118
8.86454E-09,0.01449341,0.07033165
8.94739E-09,0.0152568,0.07336958
9.03025E-09,0.01604083,0.07646499
9.11311E-09,0.01684548,0.07961787
9.23168E-09,0.01803343,0.08422906
9.35025E-09,0.01926474,0.08892756
9.46882E-09,0.02053942,0.09371337
9.58739E-09,0.02185746,0.09858649
9.70596E-09,0.02321886,0.1035469
9.82454E-09,0.02462363,0.1085946
9.94311E-09,0.02607177,0.1137297
1.00631E-08,0.027582,0.1189782
1.0186E-08,0.02917461,0.1244342
1.03088E-08,0.03081396,0.1299257
1.04317E-08,0.03250002,0.1354528
1.05545E-08,0.03423282,0.1410155
1.06774E-08,0.03601234,0.1466137
1.08003E-08,0.03783859,0.1522475
1.09231E-08,0.03971156,0.1579169
1.0966E-08,0.04037581,0.1598904
1.10088E-08,0.04104569,0.1618635
1.10517E-08,0.04172121,0.1638361
1.10945E-08,0.04240236,0.1658083
1.11374E-08,0.04308914,0.16778
1.11803E-08,0.04378155,0.1697513
1.12231E-08,0.0444796,0.1717222
1.13674E-08,0.0468716,0.1783742
1.15117E-08,0.04932626,0.1849586
1.1656E-08,0.0518436,0.1914754
1.18003E-08,0.05442361,0.1979248
1.19445E-08,0.05706629,0.2043065
1.20888E-08,0.05977164,0.2106207
1.22331E-08,0.06253966,0.2168673
1.23117E-08,0.06407264,0.220208
1.23903E-08,0.06562365,0.2235072
1.24688E-08,0.06719271,0.2267649
1.25474E-08,0.0687798,0.2299811
1.2626E-08,0.07038494,0.2331558
1.27045E-08,0.07200811,0.2362889
1.27831E-08,0.07364932,0.2393806
1.2896E-08,0.07603817,0.2437422
1.30088E-08,0.07846303,0.2479836
1.31217E-08,0.08092391,0.2521046
1.32345E-08,0.08342082,0.2561054
1.33474E-08,0.08595374,0.2599859
1.34603E-08,0.08852269,0.2637462
1.35731E-08,0.09112766,0.2673862
1.36203E-08,0.09222607,0.2688611
1.36674E-08,0.09333057,0.2703105
1.37145E-08,0.09444116,0.2717345
1.37617E-08,0.09555783,0.273133
1.38088E-08,0.09668059,0.274506
1.3856E-08,0.09780944,0.2758536
1.39031E-08,0.09894437,0.2771758
1.3956E-08,0.1002241,0.2786266
1.40088E-08,0.1015112,0.2800423
1.40617E-08,0.1028059,0.2814231
1.41145E-08,0.104108,0.2827687
1.41674E-08,0.1054176,0.2840793
1.42203E-08,0.1067347,0.2853548
1.42731E-08,0.1080592,0.2865953
1.43445E-08,0.109861,0.2882143
1.4416E-08,0.111676,0.2897633
1.44874E-08,0.1135042,0.2912424
1.45588E-08,0.1153457,0.2926516
1.46303E-08,0.1172004,0.2939908
1.47017E-08,0.1190684,0.2952601
1.47731E-08,0.1209496,0.2964594
1.48474E-08,0.1229199,0.297629
1.49217E-08,0.1249039,0.2987171
1.4996E-08,0.1269016,0.2997237
1.50703E-08,0.1289132,0.3006487
1.51445E-08,0.1309384,0.3014922
1.52188E-08,0.1329774,0.3022543
1.52931E-08,0.1350302,0.3029348
1.53845E-08,0.1375753,0.3036569
1.5476E-08,0.1401401,0.3042491
1.55674E-08,0.1427247,0.3047113
1.56588E-08,0.1453291,0.3050436
1.57503E-08,0.1479533,0.3052459
1.58417E-08,0.1505972,0.3053182
1.59331E-08,0.1532608,0.3052606
1.59931E-08,0.1550191,0.3051501
1.60531E-08,0.1567855,0.3049826
1.61131E-08,0.1585599,0.304758
1.61731E-08,0.1603424,0.3044764
1.62331E-08,0.1621329,0.3041377
1.62931E-08,0.1639315,0.303742
1.63531E-08,0.1657382,0.3032893
1.64317E-08,0.1681161,0.3026094
1.65103E-08,0.1705072,0.3018324
1.65888E-08,0.1729113,0.3009583
1.66674E-08,0.1753285,0.2999869
1.6746E-08,0.1777588,0.2989184
1.68245E-08,0.1802022,0.2977528
1.69031E-08,0.1826586,0.29649
1.69488E-08,0.1840936,0.2957112
1.69945E-08,0.1855327,0.2949004
1.70403E-08,0.186976,0.2940575
1.7086E-08,0.1884236,0.2931825
1.71317E-08,0.1898753,0.2922754
1.71774E-08,0.1913312,0.2913362
1.72231E-08,0.1927914,0.2903649
1.73245E-08,0.1960463,0.2880927
1.7426E-08,0.1993204,0.2856711
1.75274E-08,0.2026138,0.2831001
1.76288E-08,0.2059265,0.2803797
1.77303E-08,0.2092585,0.2775098
1.78317E-08,0.2126097,0.2744905
1.79331E-08,0.2159802,0.2713218
1.80688E-08,0.2205193,0.2668494
1.82045E-08,0.2250888,0.2621481
1.83403E-08,0.2296886,0.2572179
1.8476E-08,0.2343187,0.2520588
1.86117E-08,0.2389792,0.2466706
1.87474E-08,0.2436699,0.2410536
1.88831E-08,0.248391,0.2352076
1.89217E-08,0.2497374,0.2335142
1.89603E-08,0.251086,0.2318053
1.89988E-08,0.2524369,0.2300809
1.90374E-08,0.2537899,0.2283411
1.9076E-08,0.2551451,0.2265859
1.91145E-08,0.2565025,0.2248152
1.91531E-08,0.2578621,0.2230291
1.92674E-08,0.261904,0.2176375
1.93817E-08,0.2659631,0.2121383
1.9496E-08,0.2700396,0.2065314
1.96103E-08,0.2741333,0.2008169
1.97245E-08,0.2782442,0.1949947
1.98388E-08,0.2823725,0.1890649
1.99531E-08,0.286518,0.1830275
1.99874E-08,0.2877644,0.1812037
2.00217E-08,0.2890123,0.1793729
2.0056E-08,0.2902615,0.177535
2.00903E-08,0.2915121,0.1756902
2.01245E-08,0.2927641,0.1738384
2.01588E-08,0.2940174,0.1719796
2.01931E-08,0.2952721,0.1701137
2.03031E-08,0.2993066,0.164087
2.04003E-08,0.3028813,0.1587043
2.04974E-08,0.3064655,0.1532908
2.05945E-08,0.3100593,0.1478465
2.06917E-08,0.3136625,0.1423715
2.07888E-08,0.3172753,0.1368657
2.0886E-08,0.3208975,0.1313292
2.09831E-08,0.3245293,0.1257619
2.10231E-08,0.326027,0.1234686
2.10631E-08,0.3275262,0.1211739
2.11031E-08,0.3290266,0.1188778
2.11431E-08,0.3305285,0.1165802
2.11831E-08,0.3320318,0.1142811
2.12231E-08,0.3335365,0.1119807
2.12631E-08,0.3350425,0.1096787
2.16131E-08,0.3482746,0.08956452
2.17374E-08,0.3529967,0.08243264
2.18617E-08,0.3577282,0.07535725
2.1986E-08,0.3624689,0.06833835
2.21103E-08,0.3672189,0.06137593
2.22345E-08,0.3719781,0.05447
2.23588E-08,0.3767466,0.04762056
2.24831E-08,0.3815244,0.0408276
2.2546E-08,0.3839431,0.03743413
2.26088E-08,0.3863633,0.03406729
2.26717E-08,0.3887852,0.03072709
2.27345E-08,0.3912088,0.02741352
2.27974E-08,0.3936339,0.02412659
2.28603E-08,0.3960607,0.02086629
2.29231E-08,0.3984891,0.01763262
2.29974E-08,0.4013608,0.01384945
2.30717E-08,0.4042341,0.010115
2.3146E-08,0.4071089,0.006429273
2.32203E-08,0.4099851,0.002792272
2.32945E-08,0.4128629,-0.000796005
2.33688E-08,0.4157422,-0.004335559
2.34431E-08,0.418623,-0.007826389
2.35003E-08,0.4208396,-0.01047309
2.35574E-08,0.4230568,-0.013085
2.36145E-08,0.4252743,-0.01566213
2.36717E-08,0.4274924,-0.01820447
2.37288E-08,0.4297109,-0.02071203
2.3786E-08,0.4319298,-0.02318481
2.38431E-08,0.4341493,-0.0256228
2.39231E-08,0.4372571,-0.02897513
2.40031E-08,0.440365,-0.03224862
2.40831E-08,0.4434729,-0.03544328
2.41631E-08,0.4465808,-0.03855911
2.42431E-08,0.4496888,-0.0415961
2.43231E-08,0.4527968,-0.04455426
2.44031E-08,0.4559048,-0.04743358
2.4516E-08,0.460289,-0.05135469
2.46288E-08,0.4646709,-0.05509512
2.47417E-08,0.4690505,-0.05865487
2.48545E-08,0.4734277,-0.06203395
2.49674E-08,0.4778026,-0.06523236
2.50803E-08,0.4821751,-0.06825009
2.51931E-08,0.4865453,-0.07108714
2.52531E-08,0.4888669,-0.0725142
2.53131E-08,0.4911871,-0.07388597
2.53731E-08,0.4935061,-0.07520247
2.54331E-08,0.4958239,-0.07646368
2.54931E-08,0.4981404,-0.0776696
2.55531E-08,0.5004556,-0.07882024
2.56131E-08,0.5027696,-0.0799156
2.57017E-08,0.506183,-0.08142973
2.57903E-08,0.5095926,-0.08281905
2.58788E-08,0.5129983,-0.08408354
2.59674E-08,0.5164001,-0.08522321
2.6056E-08,0.5197981,-0.08623806
2.61445E-08,0.5231923,-0.08712808
2.62331E-08,0.5265826,-0.08789328
2.62831E-08,0.5284943,-0.08826899
2.63331E-08,0.5304045,-0.08860452
