,impedance_key,transferFunc,transferFunc_latex
0,Z1_Z2_ZL,(Z_1*Z_2*Z_L*g_m + Z_1*Z_L)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_L),\frac{Z_{1} Z_{2} Z_{L} g_{m} + Z_{1} Z_{L}}{Z_{1} Z_{2} g_{m} + Z_{1} + Z_{2} + Z_{L}}
1,Z1_Z3_ZL,Z_1*Z_3*Z_L*g_m/(Z_1*Z_3*g_m + Z_1*Z_L*g_m + Z_3 + Z_L),\frac{Z_{1} Z_{3} Z_{L} g_{m}}{Z_{1} Z_{3} g_{m} + Z_{1} Z_{L} g_{m} + Z_{3} + Z_{L}}
2,Z1_Z5_ZL,(Z_1*Z_5*Z_L*g_m - Z_1*Z_L)/(Z_1*Z_5*g_m + 2*Z_1*Z_L*g_m + Z_1 + Z_5 + Z_L),\frac{Z_{1} Z_{5} Z_{L} g_{m} - Z_{1} Z_{L}}{Z_{1} Z_{5} g_{m} + 2 Z_{1} Z_{L} g_{m} + Z_{1} + Z_{5} + Z_{L}}
3,Z1_ZL,Z_1*Z_L*g_m/(Z_1*g_m + 1),\frac{Z_{1} Z_{L} g_{m}}{Z_{1} g_{m} + 1}
